layer,model,rank_type,language,pearson
2,mbert,top5,twi,0.8402185547451938
2,mbert,top5,luo,0.8383271032862517
2,mbert,top5,kin,0.8369160239372743
2,mbert,top5,lug,0.8343006430493938
2,mbert,top5,ibo,0.8311489402495968
2,mbert,worst5,bbj,0.6488735799603097
2,mbert,worst5,yor,0.6778659515758039
2,mbert,worst5,fon,0.7356333190649675
2,mbert,worst5,pcm,0.7512403370606406
2,mbert,worst5,bam,0.7546983383065395
3,mbert,top5,kin,0.9013931728547623
3,mbert,top5,twi,0.9004997433473991
3,mbert,top5,luo,0.895588728241131
3,mbert,top5,lug,0.8950388357752619
3,mbert,top5,sna,0.8936098169385365
3,mbert,worst5,bbj,0.7759670166051714
3,mbert,worst5,yor,0.7991075744854057
3,mbert,worst5,fon,0.8314079028317652
3,mbert,worst5,pcm,0.8402516936930532
3,mbert,worst5,ewe,0.8481866276548979
10,mbert,top5,kin,0.9638866343705614
10,mbert,top5,nya,0.9619289936555305
10,mbert,top5,lug,0.9605130079301734
10,mbert,top5,sna,0.959757575403393
10,mbert,top5,twi,0.9590010674892256
10,mbert,worst5,bbj,0.9157578272551741
10,mbert,worst5,yor,0.927665549902756
10,mbert,worst5,fon,0.9283326577835362
10,mbert,worst5,pcm,0.9372146129346288
10,mbert,worst5,ewe,0.9390747985168947
12,mbert,top5,lug,0.8438119494779205
12,mbert,top5,kin,0.8431594933434753
12,mbert,top5,nya,0.8421907094161387
12,mbert,top5,sna,0.8271592884020591
12,mbert,top5,twi,0.8168051670498849
12,mbert,worst5,bbj,0.6503195394619341
12,mbert,worst5,yor,0.6713425521895875
12,mbert,worst5,fon,0.6931471226758694
12,mbert,worst5,pcm,0.725263733581313
12,mbert,worst5,mos,0.7321048921416907
