Model,CLS,CTX,HYB,Tokens,Window,Rank,Language,MeanSim,Family
mbert,true,false,false,200,3,10,sna,0.9507,Bantu
mbert,true,false,false,200,3,11,bam,0.946,Mande
mbert,true,false,false,200,3,12,zul,0.941,Bantu
mbert,true,false,false,200,3,13,fon,0.9397,Kwa
mbert,true,false,false,200,3,14,hau,0.9396,Chadic
mbert,true,false,false,200,3,15,pcm,0.9346,English Creole
mbert,true,false,false,200,3,16,wol,0.9304,Atlantic-Congo
mbert,true,false,false,200,3,17,xho,0.9282,Bantu
mbert,true,false,false,200,3,18,mos,0.9276,Gur
mbert,true,false,false,200,3,19,bbj,0.9091,Bantu
mbert,true,false,false,200,3,20,yor,0.8971,Volta-Niger
mbert,true,false,false,300,3,1,lug,0.9816,Bantu
mbert,true,false,false,300,3,2,twi,0.9754,Kwa
mbert,true,false,false,300,3,3,luo,0.9719,Nilotic
mbert,true,false,false,300,3,4,swa,0.971,Bantu
mbert,true,false,false,300,3,5,kin,0.9707,Bantu
mbert,true,false,false,300,3,6,ibo,0.9658,Volta-Niger
mbert,true,false,false,300,3,7,ewe,0.9561,Kwa
mbert,true,false,false,300,3,8,tsn,0.9532,Bantu
mbert,true,false,false,300,3,9,nya,0.9523,Bantu
mbert,true,false,false,300,3,10,sna,0.9518,Bantu
mbert,true,false,false,300,3,11,bam,0.9475,Mande
mbert,true,false,false,300,3,12,zul,0.945,Bantu
mbert,true,false,false,300,3,13,fon,0.9416,Kwa
mbert,true,false,false,300,3,14,hau,0.9413,Chadic
mbert,true,false,false,300,3,15,pcm,0.9349,English Creole
mbert,true,false,false,300,3,16,wol,0.9316,Atlantic-Congo
mbert,true,false,false,300,3,17,mos,0.9302,Gur
mbert,true,false,false,300,3,18,xho,0.9287,Bantu
mbert,true,false,false,300,3,19,bbj,0.9117,Bantu
mbert,true,false,false,300,3,20,yor,0.8943,Volta-Niger
mbert,true,false,false,500,1,1,lug,0.9824,Bantu
mbert,true,false,false,500,1,2,luo,0.9723,Nilotic
