layer,model,rank_type,language,cosine
1,mbert,top5,lug,0.9997692704200745
1,mbert,top5,hau,0.999714121222496
1,mbert,top5,nya,0.9996401816606522
1,mbert,top5,kin,0.9996147602796555
1,mbert,top5,twi,0.999595507979393
1,mbert,worst5,yor,0.9985969513654709
1,mbert,worst5,pcm,0.9987654983997345
1,mbert,worst5,fon,0.9989538937807083
1,mbert,worst5,bbj,0.9989558458328247
1,mbert,worst5,ewe,0.9993086159229279
2,mbert,top5,lug,0.9999531209468842
2,mbert,top5,hau,0.9999529272317886
2,mbert,top5,kin,0.9999293982982635
2,mbert,top5,nya,0.9999291449785233
2,mbert,top5,xho,0.9999271184206009
2,mbert,worst5,yor,0.9997568428516388
2,mbert,worst5,pcm,0.9998083859682083
2,mbert,worst5,fon,0.9998115748167038
2,mbert,worst5,bbj,0.9998265206813812
2,mbert,worst5,ewe,0.9998809099197388
3,mbert,top5,lug,0.9999766796827316
3,mbert,top5,hau,0.9999758005142212
3,mbert,top5,kin,0.9999746531248093
3,mbert,top5,nya,0.9999731630086899
3,mbert,top5,xho,0.9999715983867645
3,mbert,worst5,yor,0.9999060779809952
3,mbert,worst5,pcm,0.9999125003814697
3,mbert,worst5,bbj,0.9999142438173294
3,mbert,worst5,fon,0.999923825263977
3,mbert,worst5,swa,0.999942347407341
4,mbert,top5,kin,0.9999384731054306
4,mbert,top5,lug,0.9999323487281799
4,mbert,top5,nya,0.9999274611473083
4,mbert,top5,sna,0.9999260604381561
4,mbert,top5,xho,0.9999154061079025
4,mbert,worst5,pcm,0.9996169954538345
4,mbert,worst5,yor,0.999638020992279
4,mbert,worst5,bbj,0.9996892958879471
4,mbert,worst5,fon,0.9997236430644989
4,mbert,worst5,ewe,0.9997750967741013
5,mbert,top5,kin,0.9928813427686691
5,mbert,top5,nya,0.9928144067525864
5,mbert,top5,lug,0.9924901723861694
5,mbert,top5,luo,0.9918859899044037
5,mbert,top5,xho,0.9912163615226746
5,mbert,worst5,bbj,0.9694695323705673
5,mbert,worst5,yor,0.9733754694461823
5,mbert,worst5,fon,0.9749644100666046
5,mbert,worst5,swa,0.9773318618535995
5,mbert,worst5,pcm,0.9804651737213135
6,mbert,top5,kin,0.98903389275074
6,mbert,top5,lug,0.9884062260389328
6,mbert,top5,nya,0.9876224547624588
6,mbert,top5,ibo,0.9870716035366058
6,mbert,top5,xho,0.9868449568748474
6,mbert,worst5,bbj,0.9583432376384735
6,mbert,worst5,yor,0.9596384614706039
6,mbert,worst5,swa,0.9622238129377365
6,mbert,worst5,fon,0.9633758664131165
6,mbert,worst5,pcm,0.9675980508327484
7,mbert,top5,kin,0.9864611774682999
7,mbert,top5,ibo,0.9850161522626877
7,mbert,top5,lug,0.9848649054765701
7,mbert,top5,hau,0.9842745512723923
7,mbert,top5,luo,0.9836704134941101
7,mbert,worst5,swa,0.9504913985729218
7,mbert,worst5,yor,0.9580982327461243
7,mbert,worst5,bbj,0.9597397148609161
7,mbert,worst5,fon,0.9620047509670258
7,mbert,worst5,pcm,0.963321790099144
8,mbert,top5,kin,0.9853632301092148
8,mbert,top5,lug,0.9826647788286209
8,mbert,top5,ibo,0.9812715947628021
8,mbert,top5,nya,0.9810198694467545
8,mbert,top5,sna,0.9804797321557999
8,mbert,worst5,swa,0.9320967644453049
8,mbert,worst5,pcm,0.9455688893795013
8,mbert,worst5,yor,0.9500482380390167
8,mbert,worst5,bbj,0.9523511677980423
8,mbert,worst5,fon,0.9565787315368652
9,mbert,top5,kin,0.9859396070241928
9,mbert,top5,lug,0.9838728606700897
9,mbert,top5,ibo,0.9834538251161575
9,mbert,top5,sna,0.9834492802619934
9,mbert,top5,xho,0.982850193977356
9,mbert,worst5,swa,0.9409784227609634
9,mbert,worst5,pcm,0.9490479230880737
9,mbert,worst5,yor,0.956925630569458
9,mbert,worst5,bbj,0.9608491361141205
9,mbert,worst5,fon,0.9640248417854309
10,mbert,top5,sna,0.991168757279714
10,mbert,top5,kin,0.9910096526145935
10,mbert,top5,lug,0.9907789826393127
10,mbert,top5,nya,0.9886437654495239
10,mbert,top5,hau,0.9869296550750732
10,mbert,worst5,yor,0.9578964908917745
10,mbert,worst5,swa,0.9585277835528055
10,mbert,worst5,pcm,0.9610852003097534
10,mbert,worst5,bbj,0.9663696885108948
10,mbert,worst5,fon,0.9701155026753744
11,mbert,top5,lug,0.9934453368186951
11,mbert,top5,kin,0.9930683970451355
11,mbert,top5,sna,0.9921602408091227
11,mbert,top5,nya,0.9918206930160522
11,mbert,top5,zul,0.989129881064097
11,mbert,worst5,yor,0.9601866205533346
11,mbert,worst5,pcm,0.9651729067166647
11,mbert,worst5,bbj,0.9683259129524231
11,mbert,worst5,swa,0.97071373462677
11,mbert,worst5,fon,0.9730062484741211
12,mbert,top5,lug,0.9886569579442342
12,mbert,top5,kin,0.9885529081026713
12,mbert,top5,nya,0.9875284234682719
12,mbert,top5,sna,0.9869775772094727
12,mbert,top5,zul,0.9823970198631287
12,mbert,worst5,bbj,0.9213478167851766
12,mbert,worst5,fon,0.9405335386594137
12,mbert,worst5,pcm,0.9405348300933838
12,mbert,worst5,yor,0.9484425187110901
12,mbert,worst5,bam,0.9576219320297241
