,DATE,PER,LOC,ORG,Mean
luo,0.99876887,0.9898895,0.999284,0.9996371,0.9968949
twi,0.99913603,0.9894745,0.99913585,0.9996394,0.99684644
kin,0.9991794,0.98893994,0.99927217,0.9996064,0.99674946
lug,0.9989903,0.98867565,0.9996655,0.9996073,0.9967347
tsn,0.99883527,0.9894672,0.99894565,0.9994952,0.99668586
ibo,0.99936163,0.9888232,0.9986687,0.99958,0.9966084
ewe,0.9982361,0.9901338,0.9984062,0.99939245,0.99654216
swa,0.9977955,0.98956937,0.9991998,0.9995787,0.99653584
pcm,0.99754906,0.9896862,0.99886876,0.99954754,0.9964129
nya,0.9987405,0.9885207,0.9984136,0.99964005,0.9963287
sna,0.99913245,0.9882303,0.9983606,0.9994226,0.99628645
fon,0.9980371,0.9898176,0.9979404,0.99930114,0.99627405
hau,0.99881005,0.9893411,0.997582,0.99926096,0.9962485
wol,0.998868,0.9887181,0.9980366,0.99925375,0.9962191
xho,0.99943036,0.9886278,0.99809617,0.99864477,0.9961998
yor,0.99900806,0.989114,0.99764246,0.9990066,0.9961928
bbj,0.99849445,0.9892375,0.997711,0.9992086,0.9961629
zul,0.9987574,0.9873615,0.9984254,0.99931294,0.9959643
mos,0.9982318,0.98894745,0.9971974,0.99934083,0.99592936
bam,0.9982348,0.9877086,0.99812937,0.9987772,0.99571246
