,ORG,DATE,LOC,PER,Mean
lug,0.892197,0.64045674,0.7736631,0.9483814,0.81367457
kin,0.88816464,0.62438685,0.79686487,0.89131755,0.8001835
wol,0.85163367,0.6324784,0.84444386,0.8470005,0.79388905
tsn,0.8795842,0.6616058,0.83515465,0.7786578,0.78875065
hau,0.8183247,0.6830286,0.8119722,0.83143723,0.7861906
luo,0.86346966,0.63212633,0.7515277,0.888994,0.7840294
ewe,0.84836996,0.65618044,0.7929324,0.8202522,0.7794338
mos,0.8401772,0.6318102,0.7768438,0.86629033,0.7787804
pcm,0.85228264,0.63095677,0.7988678,0.8320078,0.7785288
swa,0.85641396,0.64479864,0.75472015,0.84270924,0.7746605
ibo,0.8274507,0.618603,0.7770813,0.8640148,0.77178746
twi,0.8272917,0.6271434,0.7605986,0.8555219,0.7676389
sna,0.8805399,0.6541746,0.7875409,0.71198785,0.7585608
nya,0.86240363,0.62835723,0.7669866,0.73866093,0.7491021
bam,0.79915524,0.66240764,0.7408306,0.7902702,0.74816597
yor,0.8067218,0.6518003,0.7660961,0.7599132,0.74613285
bbj,0.7986027,0.62220937,0.7161232,0.8268709,0.74095154
xho,0.71792686,0.7576628,0.76356864,0.6800004,0.7297896
fon,0.7773851,0.6224482,0.7517621,0.7017288,0.71333104
zul,0.7493775,0.73628104,0.6456349,0.69189656,0.70579743
