,DATE,PER,LOC,ORG,Mean
lug,0.999955,0.9997822,0.9999866,0.9999819,0.99992645
luo,0.9998707,0.99979186,0.99997634,0.99998426,0.9999058
twi,0.9999001,0.99976826,0.9999565,0.9999799,0.9999012
kin,0.99990016,0.9997893,0.9999006,0.9999816,0.9998929
nya,0.999929,0.9997673,0.9998833,0.99997556,0.9998888
zul,0.9999053,0.9997479,0.99989915,0.99997544,0.9998819
tsn,0.9998587,0.999798,0.9999383,0.99992764,0.9998807
mos,0.99987745,0.999768,0.99988824,0.9999692,0.9998757
wol,0.99984604,0.9997571,0.99992037,0.99997413,0.9998745
swa,0.9998517,0.99975604,0.999981,0.99989676,0.9998714
sna,0.9997983,0.9997345,0.99993974,0.99998283,0.99986386
bam,0.999864,0.9997478,0.9999113,0.99993205,0.9998638
xho,0.99985933,0.99979603,0.999762,0.99997205,0.99984735
ibo,0.99975145,0.99977976,0.99986345,0.9999327,0.99983186
yor,0.9997679,0.99970376,0.9998457,0.9999497,0.9998168
ewe,0.9997323,0.99950594,0.9999103,0.9999767,0.9997813
bbj,0.9995082,0.9997861,0.9998335,0.9999399,0.99976695
pcm,0.9998621,0.9994342,0.99946415,0.9999594,0.9996799
fon,0.9998854,0.9997788,0.9986796,0.99995744,0.99957526
hau,0.9936787,0.9996898,0.98777914,0.99781775,0.9947414
