,1,2,3,4,5,6,7,8,9,10,11,12
kin,0.9996105879545212,0.9999283105134964,0.9999742209911346,0.9999307692050934,0.9935440570116043,0.990171492099762,0.987535148859024,0.9859887659549713,0.9875506162643433,0.9906212091445923,0.9924980799357096,0.9879668752352396
nya,0.9996701180934906,0.9999337941408157,0.9999736845493317,0.9999144077301025,0.9936523139476776,0.9894404709339142,0.9858603626489639,0.9834562987089157,0.9839639514684677,0.9896563688913981,0.9916544755299886,0.9864813089370728
lug,0.9997768551111221,0.9999546855688095,0.9999778866767883,0.9999201893806458,0.9928196221590042,0.9895805716514587,0.9854981452226639,0.9820112437009811,0.98394675552845,0.9892231424649557,0.9914950529734293,0.9858699440956116
sna,0.9995506703853607,0.9999230653047562,0.9999716132879257,0.9999318420886993,0.9915078729391098,0.9866016060113907,0.9843320101499557,0.9824856221675873,0.9855781197547913,0.9908214012781779,0.9913158218065897,0.9858278234799703
hau,0.9997217953205109,0.9999538511037827,0.9999781847000122,0.9999047219753265,0.9904063194990158,0.9859414547681808,0.9833984673023224,0.9793341010808945,0.983133003115654,0.9865098396937052,0.9881663123766581,0.9811423420906067
zul,0.9995387345552444,0.9999145418405533,0.9999691992998123,0.9999121129512787,0.9901674389839172,0.9847476333379745,0.9817026704549789,0.978374794125557,0.9810978323221207,0.9870303869247437,0.9877711137135824,0.9811404744784037
tsn,0.9994858354330063,0.9999070018529892,0.999962717294693,0.9998511075973511,0.9907729774713516,0.9866465926170349,0.9835397452116013,0.9792492836713791,0.9812603294849396,0.984535793463389,0.9877115488052368,0.9810939828554789
luo,0.9994616657495499,0.9999058991670609,0.999963715672493,0.9998591244220734,0.9925379455089569,0.9872568398714066,0.9850792586803436,0.980408325791359,0.9814855456352234,0.9844400485356649,0.9871625105539957,0.9802907109260559
xho,0.9995635449886322,0.9999274015426636,0.9999724179506302,0.9999197423458099,0.9918954074382782,0.9873833656311035,0.9845040142536163,0.9805651754140854,0.9829768538475037,0.9796081980069479,0.9856749971707662,0.9785444537798563
ibo,0.9995342493057251,0.9999117404222488,0.9999669045209885,0.9998835921287537,0.9905107468366623,0.9856347888708115,0.9837441295385361,0.980328693985939,0.9836556762456894,0.9854902426401774,0.9868736068407694,0.9783723553021749
twi,0.9995644688606262,0.9999203681945801,0.9999695271253586,0.9998458921909332,0.9893299788236618,0.9830539673566818,0.9814342260360718,0.9779984205961227,0.9829352647066116,0.9855176011721293,0.9880097905794779,0.9762161374092102
wol,0.9994170814752579,0.9998971968889236,0.9999619573354721,0.9998442530632019,0.9887140244245529,0.9829170554876328,0.9803825467824936,0.9762197285890579,0.9797657579183578,0.9818929433822632,0.9827051758766174,0.9738689064979553
mos,0.9994956105947495,0.9999082982540131,0.9999644756317139,0.999860405921936,0.986194059252739,0.9824908822774887,0.9799434095621109,0.9740668386220932,0.9765185415744781,0.9825823903083801,0.9832431674003601,0.9708392222722372
swa,0.9995131343603134,0.9999002665281296,0.99995356798172,0.9998094737529755,0.983372837305069,0.9727705866098404,0.9639163166284561,0.9514181762933731,0.9567138701677322,0.9681841532389323,0.9757386644681295,0.9697003563245138
ewe,0.9993017017841339,0.9998797923326492,0.9999493360519409,0.9997636377811432,0.9878409504890442,0.9805342257022858,0.9784406870603561,0.9703418761491776,0.9736141115427017,0.9791171352068583,0.9808033506075541,0.9675981402397156
bam,0.999509409070015,0.9999180883169174,0.9999676793813705,0.9998473227024078,0.9865141957998276,0.9790989905595779,0.9734914898872375,0.958045020699501,0.9676453024148941,0.9698002537091573,0.9774782657623291,0.956815501054128
yor,0.9987198263406754,0.9997908174991608,0.999923899769783,0.9997021704912186,0.9748242050409317,0.9619313478469849,0.9607059359550476,0.9547885209321976,0.9620696157217026,0.9632656574249268,0.9648311932881674,0.9528877337773641
pcm,0.9987509250640869,0.9998055994510651,0.9999186396598816,0.9996203184127808,0.982114389538765,0.9697757661342621,0.9650897830724716,0.9475991427898407,0.9506180137395859,0.9654027819633484,0.968029777208964,0.9438808560371399
fon,0.998868316411972,0.9998036473989487,0.9999284744262695,0.9997701495885849,0.9763292521238327,0.9621645957231522,0.9603704214096069,0.9538818001747131,0.9625874161720276,0.9700183471043905,0.9730449318885803,0.9378907879193624
bbj,0.9990310966968536,0.9998407065868378,0.9999285489320755,0.9997316598892212,0.9722118824720383,0.9595589488744736,0.9590944349765778,0.9511176198720932,0.9605680108070374,0.9653878410657247,0.9676583409309387,0.9186271031697592
