language,f1
bam,0.804
bbj,0.804
ewe,0.793
fon,0.802
hau,0.810
ibo,0.809
kin,0.814
lug,0.806
luo,0.810
mos,0.810
pcm,0.809
nya,0.818
sna,0.814
swa,0.810
tsn,0.813
twi,0.807
wol,0.813
xho,0.814
yor,0.810
zul,0.809
