,LOC,DATE,ORG,PER
bam,0.9748606085777283,,0.9612751007080078,
bbj,0.943597137928009,,0.9762381911277771,0.9740652441978455
ewe,,,0.9855049848556519,0.983200192451477
fon,0.9624441862106323,,0.9786297678947449,0.9835460782051086
hau,0.9543997049331665,,0.9762320518493652,0.9853224754333496
ibo,0.9586108922958374,,0.9842405319213867,
kin,0.95957350730896,,0.984162449836731,0.9831275939941406
lug,,,0.9752882719039917,0.9820345044136047
luo,,,0.9668405055999756,0.9791433811187744
mos,0.963570237159729,,0.9841528534889221,0.9875709414482117
nya,0.9753135442733765,,0.9836286306381226,0.9911394715309143
pcm,0.9655688405036926,,0.9584197402000427,0.9867543578147888
sna,0.970475971698761,,0.9862093925476074,0.982787549495697
swa,0.9608038067817688,,0.9711523056030273,0.9867018461227417
tsn,0.9673715829849243,,0.9831726551055908,
twi,0.9705455303192139,,0.9876902103424072,0.9896194934844971
wol,0.966610848903656,,0.9811314344406128,0.9887198209762573
xho,0.9649064540863037,,,0.9718506336212158
yor,0.9410024881362915,,0.9842384457588196,
zul,0.9639246463775635,,,0.9808577299118042
