,ORG,DATE,LOC,PER,Mean
lug,0.8260186,0.76943797,0.83514476,0.62336004,0.7634903
kin,0.8259688,0.7824629,0.7895977,0.6246221,0.75566286
twi,0.830907,0.7792654,0.77901065,0.6272793,0.7541156
luo,0.8306364,0.75706,0.7906394,0.6294444,0.751945
ibo,0.8223027,0.7979415,0.75195074,0.62406546,0.7490651
tsn,0.8115663,0.7603941,0.76660836,0.62724257,0.7414528
swa,0.82224905,0.719857,0.7836829,0.62776023,0.7383873
nya,0.8311733,0.75559545,0.7408894,0.6226291,0.73757184
sna,0.80365795,0.7788692,0.7387937,0.62131715,0.7356595
pcm,0.81798947,0.7133453,0.762222,0.62837124,0.730482
zul,0.79306304,0.7564995,0.741369,0.6175555,0.72712183
xho,0.7507879,0.80477035,0.7293734,0.623138,0.7270174
ewe,0.80067277,0.7342185,0.7405464,0.6307638,0.72655034
wol,0.7881923,0.76232195,0.72743595,0.6235674,0.7253794
hau,0.7887757,0.75932217,0.7140842,0.6266035,0.72219634
yor,0.7704389,0.77070165,0.71595633,0.62547404,0.7206427
fon,0.7921722,0.72736067,0.7244027,0.62906367,0.7182498
bbj,0.78456,0.7442606,0.7177975,0.626085,0.7181758
mos,0.7957401,0.7340523,0.70518136,0.6246574,0.7149078
bam,0.7573754,0.7340546,0.7304789,0.61901355,0.71023065
