,PER,LOC,ORG,DATE,Mean
xho,0.99683326,0.99940765,0.9961314,0.9971622,0.9973836
hau,0.998516,0.99756646,0.9997672,0.99172974,0.99689484
zul,0.9973138,0.99666864,0.99732924,0.9955152,0.9967067
tsn,0.9990977,0.99849826,0.999415,0.98885894,0.9964675
ewe,0.9991249,0.99688226,0.9993874,0.9884387,0.9959583
bam,0.99900234,0.99485844,0.9988874,0.98930264,0.9955127
yor,0.9986951,0.9964,0.99910456,0.98783153,0.9955078
sna,0.99772996,0.99624586,0.9998665,0.98777056,0.99540323
swa,0.99951816,0.9954586,0.9995516,0.98636746,0.99522394
wol,0.9991714,0.9986932,0.99931586,0.98361737,0.99519944
lug,0.9991918,0.995764,0.9998157,0.98529273,0.99501604
pcm,0.9993407,0.99680996,0.9996634,0.98331606,0.99478257
mos,0.9991201,0.9966606,0.9993304,0.9836561,0.9946918
luo,0.99930054,0.9949635,0.9998282,0.98349845,0.99439776
kin,0.9993482,0.9964529,0.99985754,0.98146236,0.99428034
twi,0.9991778,0.99573255,0.99972665,0.9824564,0.99427336
nya,0.99859583,0.99558663,0.99987257,0.98252594,0.9941453
ibo,0.9991824,0.99611676,0.9997057,0.97988456,0.9937223
fon,0.9976661,0.9969774,0.9983428,0.98149025,0.9936191
bbj,0.9986839,0.99355656,0.9992725,0.9813217,0.99320865
