,LOC,ORG,DATE,PER,Mean
lug,0.992639637830464,0.9916965985039226,0.9863326296227521,0.997616955227644,0.9920714552961957
kin,0.9942389422809336,0.9922101812870489,0.9852227157022603,0.9927279116120534,0.991099937720574
nya,0.9927837119367242,0.9931596975155954,0.9829332946082843,0.9952743081354679,0.991037753049018
sna,0.9921005661812728,0.9912419396246896,0.9872812177707647,0.9916897224121233,0.9905783614972126
xho,0.9878326664952178,0.9910191134359293,0.9894939695666461,0.979664046487278,0.9870024489962679
tsn,0.9801267498357531,0.9879620313165117,0.9839007253534409,0.9895892723449556,0.9853946947126654
luo,0.9883888415734284,0.9863518482829271,0.9786180469556405,0.9866250727631127,0.9849959523937772
zul,0.9774202376794431,0.9890970287014127,0.9792406774484406,0.9899981183878933,0.9839390155542973
hau,0.9768773141704716,0.9834861297653035,0.982022855874584,0.984251959175695,0.9816595647465135
wol,0.977704655303616,0.9845229729789337,0.9688455431882557,0.9822914928094738,0.9783411660700697
ibo,0.9826879962620562,0.9706784496242589,0.9692149083070558,0.9870705988287182,0.9774129882555223
twi,0.974843648700984,0.9830313179768068,0.9672394505178903,0.9760759520536513,0.975297592312333
swa,0.9691136153316651,0.9691772724961888,0.9649055158224848,0.9847604326469004,0.9719892090743096
ewe,0.9714668861131001,0.9751628105725065,0.9683987831004048,0.97186268711091,0.9717227917242304
bam,0.9615105175945869,0.9678937896917112,0.9788103612776982,0.977356174917202,0.9713927108702995
mos,0.966160805017236,0.9748664615653063,0.9571585775284424,0.9793559238574513,0.969385441992109
yor,0.9478022488425774,0.9629812203016067,0.9486109983381198,0.9593041581946705,0.9546746564192437
pcm,0.9533626651052418,0.9524543823871559,0.9320205570690658,0.9603452070282633,0.9495457028974317
fon,0.9402387197543853,0.9371405313830213,0.8736567305846017,0.9562336709838734,0.9268174131764705
bbj,0.8851249210852677,0.9199509356482521,0.9122571018384359,0.9577998242050305,0.9187831956942466
