,DATE,LOC,ORG,PER,Mean
lug,0.5568001,0.57180876,0.6242087,0.68999654,0.6107035
kin,0.56409746,0.5692088,0.61907506,0.6222685,0.59366244
luo,0.51397175,0.5411498,0.5846771,0.6497181,0.5723792
nya,0.5241587,0.5015508,0.6123656,0.63353205,0.5679018
sna,0.5667485,0.54266393,0.5885819,0.53989434,0.5594722
xho,0.5781416,0.5276521,0.5820652,0.54529583,0.5582887
twi,0.4894485,0.51452124,0.58176315,0.6229198,0.5521631
ibo,0.5220675,0.5296448,0.53912747,0.5989217,0.54744035
wol,0.5055677,0.51001316,0.56721133,0.59228086,0.5437683
zul,0.51168007,0.52563894,0.5711245,0.55793536,0.54159474
tsn,0.5152046,0.48099083,0.55863094,0.6036068,0.5396083
swa,0.49648643,0.4925577,0.5352235,0.6306254,0.5387233
hau,0.5238962,0.48766458,0.538038,0.57511544,0.5311786
bam,0.49070653,0.51454663,0.5017968,0.57187307,0.5197308
ewe,0.44619182,0.47817475,0.523853,0.5795709,0.50694764
mos,0.4373583,0.47367603,0.5446207,0.5684704,0.5060314
pcm,0.38865522,0.48314494,0.5316995,0.6197319,0.5058079
fon,0.4105161,0.46041578,0.51704353,0.5461427,0.48352954
bbj,0.40757763,0.41143087,0.43143976,0.54633474,0.44919574
yor,0.4341279,0.41684327,0.4493345,0.46829864,0.44215107
