,LOC,ORG,DATE,PER,Mean
lug,0.7848016,0.9152589,0.742978,0.96558875,0.8521568
swa,0.8263675,0.8980552,0.76335126,0.8835771,0.84283775
kin,0.78527194,0.91497093,0.7055533,0.92706144,0.8332144
hau,0.7916657,0.9037873,0.73853177,0.8943956,0.8320951
sna,0.78687453,0.9260988,0.74373657,0.8646542,0.830341
wol,0.84593785,0.8724495,0.6957312,0.90076613,0.82872117
luo,0.7862012,0.9015136,0.6972304,0.92337066,0.82707894
pcm,0.81286335,0.8982158,0.72216856,0.87344736,0.82667375
ibo,0.77056456,0.9015119,0.6837295,0.93402064,0.8224566
ewe,0.781863,0.88884723,0.71678025,0.90141034,0.8222252
mos,0.7791667,0.8782759,0.7004168,0.9111998,0.8172648
tsn,0.80998003,0.8581432,0.7387671,0.84565556,0.81313646
twi,0.7781408,0.8639457,0.70361674,0.88014734,0.80646265
xho,0.85343075,0.7641978,0.8368496,0.77116907,0.80641186
nya,0.77986574,0.9094631,0.70695776,0.7935622,0.7974622
zul,0.7560583,0.84046054,0.8277812,0.75612843,0.7951071
bbj,0.74166197,0.84621775,0.6950054,0.8894726,0.7930894
yor,0.7985935,0.83446836,0.72944015,0.7965094,0.78975284
fon,0.7561325,0.86556065,0.6847784,0.84899294,0.78886616
bam,0.75126517,0.80185497,0.7187065,0.88039196,0.7880547
