,DATE,LOC,ORG,PER,Mean
lug,0.9873284,0.9973607,0.9970012,0.99805874,0.9949373
kin,0.9886002,0.9960319,0.993744,0.9928601,0.992809
nya,0.98739636,0.9937275,0.9929217,0.99542356,0.9923673
sna,0.98928034,0.993537,0.99201804,0.99126035,0.9915239
xho,0.98993385,0.9913575,0.99150866,0.97961265,0.98810315
tsn,0.98386395,0.98646903,0.99017787,0.9895249,0.9875089
zul,0.9795954,0.98975384,0.98580784,0.991658,0.98670375
luo,0.97848165,0.9902698,0.98707944,0.98995245,0.9864458
wol,0.97498477,0.98315597,0.98473966,0.9849067,0.98194677
hau,0.9846577,0.97888875,0.979878,0.9829633,0.98159695
ibo,0.9703952,0.9855763,0.9783994,0.98615265,0.9801309
twi,0.9632397,0.97492313,0.9816439,0.98012024,0.9749817
swa,0.9684074,0.97487205,0.97493815,0.9808227,0.97476006
ewe,0.9661076,0.97146034,0.97597504,0.97640634,0.97248733
bam,0.976758,0.9702669,0.9653941,0.97661364,0.9722581
mos,0.9645295,0.95602244,0.9758247,0.9814018,0.96944463
yor,0.9475897,0.95443773,0.9561973,0.9555379,0.95344067
pcm,0.9326507,0.95027745,0.9615735,0.96606815,0.95264244
fon,0.89784724,0.9439798,0.9492815,0.962024,0.93828315
bbj,0.91742784,0.8815632,0.91537446,0.9442444,0.91465247
