,DATE,LOC,PER,ORG,Mean
lug,0.9136496,0.9454064,0.9658561,0.9475279,0.94311
tsn,0.8686891,0.903973,0.9681325,0.9468602,0.92191374
nya,0.8856941,0.88737035,0.9524337,0.9557817,0.92032
luo,0.86170775,0.9181612,0.95124733,0.94702387,0.91953504
twi,0.89046264,0.9178487,0.9157735,0.9533694,0.91936356
kin,0.8681674,0.8939398,0.95733416,0.9467047,0.9165365
bam,0.87108237,0.9011706,0.9447311,0.91613877,0.90828073
zul,0.8818015,0.88664985,0.91980374,0.9436799,0.9079838
mos,0.8652073,0.8815963,0.94864744,0.93546724,0.90772957
swa,0.8603236,0.9172269,0.9289799,0.9045309,0.9027653
wol,0.85782075,0.87374055,0.9348554,0.94019127,0.901652
sna,0.8431344,0.90036017,0.9084885,0.95214516,0.90103203
xho,0.8623415,0.85231364,0.9250654,0.9352657,0.89374655
bbj,0.8271401,0.8472247,0.9525329,0.9178875,0.8861963
ewe,0.83654463,0.89550525,0.85658574,0.94321597,0.88296294
ibo,0.8233554,0.88225,0.9560119,0.8624108,0.881007
yor,0.83545905,0.8498843,0.85429347,0.91751254,0.86428726
fon,0.8839666,0.70889926,0.9348609,0.91968477,0.8618529
pcm,0.87097335,0.80969024,0.82993674,0.91668856,0.85682225
hau,0.64070684,0.677629,0.88459617,0.72872925,0.7329153
