,PER,DATE,ORG,LOC,Mean
nya,,,0.999879002571106,,0.999879002571106
wol,,,0.9998658895492554,,0.9998658895492554
tsn,,,0.9998334050178528,0.9998438358306885,0.9998386204242706
ewe,0.9997882843017578,,0.9998840689659119,,0.9998361766338348
fon,0.999822199344635,,,,0.999822199344635
bbj,,,0.9998155236244202,,0.9998155236244202
zul,,,,0.9998111128807068,0.9998111128807068
swa,0.9998029470443726,,,,0.9998029470443726
mos,0.9997419714927673,,0.9997509717941284,,0.9997464716434479
xho,0.9996086955070496,,,0.9998714923858643,0.9997400939464569
yor,,,0.9998220205307007,0.9996491074562073,0.999735563993454
sna,0.9995405673980713,,,0.9999261498451233,0.9997333586215973
luo,0.9997004866600037,,0.9997472167015076,,0.9997238516807556
lug,0.999538004398346,,0.9997363686561584,,0.9996371865272522
ibo,,,0.9995337128639221,0.9996800422668457,0.9996068775653839
kin,,,0.9995769262313843,,0.9995769262313843
pcm,0.9996510744094849,,,0.9993876814842224,0.9995193779468536
twi,0.9983513951301575,,,,0.9983513951301575
bam,,,0.996992826461792,,0.996992826461792
hau,0.9974827766418457,,0.9377651214599609,,0.9676239490509033
