,PER,DATE,ORG,LOC,Mean
lug,0.9998439,0.9988839,0.999736,0.9998036,0.99956685
kin,0.9997178,0.9991085,0.9997992,0.99910235,0.99943197
luo,0.9997446,0.99883324,0.9997651,0.9992176,0.9993901
twi,0.9995148,0.99899423,0.9997677,0.9991143,0.99934775
ibo,0.9996083,0.999284,0.9997425,0.9986265,0.9993153
swa,0.99967736,0.99761736,0.9997,0.9993207,0.99907887
wol,0.99956244,0.9988846,0.9995928,0.998058,0.99902445
nya,0.99932986,0.99864537,0.9998054,0.99828804,0.9990171
tsn,0.9996213,0.9987132,0.99875516,0.99894243,0.999008
sna,0.99874187,0.99900556,0.999617,0.9985288,0.9989733
xho,0.9994437,0.99937207,0.99906605,0.9978805,0.9989406
ewe,0.999386,0.9981487,0.9996431,0.9985454,0.9989308
zul,0.999012,0.9987017,0.9995271,0.9984357,0.9989191
pcm,0.9996491,0.99726814,0.99968314,0.999052,0.9989131
hau,0.9994797,0.99873084,0.99942183,0.9979778,0.99890256
mos,0.99970424,0.9984201,0.99957746,0.99769425,0.99884903
fon,0.9993812,0.99775517,0.9995183,0.99834836,0.9987507
bam,0.9995616,0.9983895,0.99898094,0.99800515,0.9987343
yor,0.99883574,0.9988345,0.9993567,0.9979016,0.99873215
bbj,0.99955994,0.99824995,0.99923736,0.99782336,0.99871767
