,ORG,LOC,PER,DATE,Mean
tsn,0.9989736,0.9983189,0.9977975,0.9937354,0.99720633
xho,0.99319494,0.9990072,0.99827933,0.99807894,0.99714005
zul,0.99653023,0.9946309,0.99866,0.9987158,0.99713427
ewe,0.99888647,0.99690795,0.99607414,0.99446905,0.9965844
bam,0.9983235,0.9957488,0.9967142,0.9948104,0.9963992
wol,0.99919593,0.9993964,0.9962545,0.99060595,0.99636316
nya,0.99970466,0.9967215,0.9985343,0.9893693,0.9960824
sna,0.9997668,0.99562967,0.9974531,0.99112266,0.9959931
luo,0.99966955,0.99744827,0.99549884,0.99074143,0.99583954
hau,0.9994598,0.99709755,0.9926492,0.99397975,0.99579656
swa,0.998888,0.9965644,0.99692553,0.99023104,0.99565226
yor,0.99882007,0.9966239,0.9957578,0.99000424,0.99530154
pcm,0.9994413,0.9971721,0.99638724,0.9877073,0.99517703
mos,0.99879867,0.99664724,0.9955924,0.9896302,0.99516714
lug,0.99966943,0.99574214,0.9946576,0.9904279,0.9951243
fon,0.9964495,0.99728674,0.9978814,0.98762536,0.99481076
kin,0.9998087,0.9962693,0.995364,0.9873936,0.9947089
twi,0.999469,0.99634975,0.99564266,0.98707134,0.99463314
ibo,0.99950004,0.99480164,0.9954077,0.9835794,0.9933222
bbj,0.9990111,0.9913584,0.99338454,0.98451674,0.9920677
