,PER,DATE,LOC,ORG,Mean
lug,0.9997795,0.99995995,0.9999914,0.9999815,0.9999281
luo,0.99979174,0.99986124,0.99997246,0.9999836,0.99990225
kin,0.9997906,0.9999151,0.99990934,0.99998033,0.9998989
twi,0.9997608,0.9998646,0.9999629,0.99997836,0.9998917
nya,0.9997678,0.9999179,0.9998952,0.9999788,0.9998899
tsn,0.9997955,0.9998596,0.99993986,0.9999611,0.999889
swa,0.9997719,0.9998315,0.9999812,0.9999474,0.99988306
zul,0.99974936,0.9999145,0.99988383,0.99997747,0.99988127
wol,0.999753,0.99984944,0.999915,0.99997276,0.99987257
mos,0.99975896,0.999868,0.9998804,0.9999676,0.9998687
bam,0.9997445,0.99986815,0.99991834,0.99993205,0.9998657
sna,0.99972945,0.99978685,0.9999422,0.9999838,0.9998605
xho,0.9997959,0.99984366,0.99978894,0.99997264,0.9998503
ibo,0.99977773,0.999716,0.9998314,0.99990547,0.9998076
yor,0.9997082,0.99974185,0.99984515,0.99993336,0.9998071
ewe,0.999594,0.9997246,0.99991626,0.99997234,0.9998018
bbj,0.9997846,0.9994276,0.99982446,0.9999469,0.9997459
pcm,0.999446,0.99986583,0.9995447,0.99994755,0.999701
fon,0.9997803,0.9998839,0.99846923,0.9999629,0.9995241
hau,0.9997063,0.9925494,0.99112487,0.9981226,0.99537575
