,DATE,LOC,ORG,PER,Mean
lug,0.98398256,0.9954535,0.9912274,0.9980018,0.99216634
kin,0.9863053,0.99475443,0.9917698,0.9928079,0.99140936
nya,0.98014987,0.99168193,0.9937532,0.9961121,0.9904243
sna,0.98548913,0.9913422,0.9898421,0.99090046,0.9893935
luo,0.9695294,0.98961353,0.98859787,0.9956445,0.98584634
xho,0.98798746,0.9857091,0.98281056,0.9824762,0.9847458
twi,0.9702805,0.98177755,0.98883986,0.99370795,0.98365146
tsn,0.97667664,0.9803539,0.9857541,0.99047846,0.98331577
ibo,0.97496456,0.98820984,0.97297764,0.9919224,0.9820186
zul,0.9718833,0.98473096,0.98000073,0.9893258,0.9814852
hau,0.97957397,0.979504,0.97944236,0.98633945,0.981215
swa,0.96740645,0.9794012,0.9809903,0.993181,0.9802447
wol,0.9719858,0.9813853,0.97907317,0.98847777,0.98023045
bam,0.96841335,0.9810427,0.96530396,0.98361015,0.9745925
ewe,0.9586741,0.9682933,0.9761679,0.9869255,0.9725152
mos,0.9570781,0.9649645,0.97738856,0.98903036,0.9721154
fon,0.9209797,0.9525036,0.9686673,0.98133886,0.9558724
yor,0.9423969,0.95165694,0.95674163,0.9596242,0.9526049
pcm,0.89477754,0.9532808,0.97021496,0.99058974,0.9522158
bbj,0.9247777,0.8926421,0.93123245,0.97480446,0.93086416
