,ORG,LOC,PER,DATE,Mean
ewe,0.99935925,0.999137,0.9993848,0.99509317,0.9982436
tsn,0.99966305,0.9995273,0.998929,0.9938697,0.9979973
bam,0.998941,0.9984502,0.9992262,0.9952907,0.997977
hau,0.9988155,0.999189,0.9995208,0.99390584,0.99785775
luo,0.9997932,0.99951476,0.9997796,0.99092096,0.9975021
sna,0.9997772,0.9992307,0.9988009,0.9921124,0.99748033
lug,0.99990344,0.9992052,0.99995846,0.99067545,0.9974356
swa,0.9995099,0.9986456,0.9992336,0.9910853,0.9971186
nya,0.9998763,0.9993169,0.9970986,0.99171835,0.99700254
pcm,0.99954426,0.99936056,0.9995533,0.98941845,0.99696916
mos,0.9994617,0.99804854,0.9994232,0.990365,0.9968246
kin,0.99988383,0.99956256,0.9998871,0.9879505,0.996821
wol,0.99966204,0.99821556,0.9996875,0.98971635,0.99682033
yor,0.9991996,0.9979468,0.9988014,0.9913203,0.99681705
twi,0.99943036,0.9990801,0.9992997,0.98792744,0.9964344
xho,0.9941574,0.99836004,0.99518603,0.99781,0.9963784
ibo,0.99957615,0.9983517,0.99970776,0.98553437,0.9957925
zul,0.9983297,0.98846287,0.9963926,0.99887824,0.9955159
bbj,0.9989459,0.99675936,0.9992635,0.98603916,0.995252
fon,0.99818844,0.99790806,0.9954492,0.9876675,0.9948033
