,ORG,PER,DATE,LOC,Mean
kin,0.9892687797546387,0.9683460593223572,0.9805648326873779,0.9919005036354065,0.9869470888861208
xho,0.9878587126731873,0.9595222473144531,0.9893405437469482,0.983823835849762,0.9865748556893016
zul,0.9910257458686829,0.9692872762680054,0.9862047433853149,0.9822428226470947,0.9862201775465738
lug,0.9888519644737244,0.9702343940734863,0.9798473119735718,0.9887502193450928,0.9855711111246445
nya,0.9881729483604431,0.9715061783790588,0.9798051714897156,0.9845988750457764,0.9839925496909875
luo,0.9799076318740845,0.9639466404914856,0.9829955101013184,0.9865840673446655,0.9828597926718043
hau,0.9796082377433777,0.9626012444496155,0.9828236103057861,0.9798243045806885,0.9804662114053261
sna,0.9898542761802673,0.9622349143028259,0.9706472754478455,0.9809620380401611,0.9802004152082708
ibo,0.9759100079536438,0.9624013304710388,0.9867805242538452,0.9780651330947876,0.9799707772850678
twi,0.985392689704895,0.9629558324813843,0.9676475524902344,0.980636477470398,0.9776570208742237
tsn,0.9739745259284973,0.9596928954124451,0.9857791066169739,0.9736381769180298,0.9775121615627619
swa,0.9771966934204102,0.9659318327903748,0.9753623008728027,0.9793267250061035,0.9771162884754772
wol,0.9791860580444336,0.9694992303848267,0.9709368944168091,0.976302444934845,0.9753810237711809
mos,0.9863651394844055,0.9617718458175659,0.9690341353416443,0.9703114032745361,0.9750248447177917
bam,0.9757931232452393,0.9540786147117615,0.9743210673332214,0.971092939376831,0.9734261494296117
ewe,0.9840397238731384,0.9587122797966003,0.9616925716400146,0.9746636152267456,0.9732329724967637
pcm,0.9717564582824707,0.9603522419929504,0.9517906904220581,0.9756562113761902,0.9663058621051117
yor,0.9747059941291809,0.9503626823425293,0.9680967926979065,0.9525822997093201,0.9648958317876801
bbj,0.9663316011428833,0.9537272453308105,0.9682334661483765,0.9499925971031189,0.9613965131792184
fon,0.972338855266571,0.9516323208808899,0.930879533290863,0.9654146432876587,0.956138905264887
