,LOC,PER,DATE,ORG
bam,0.9591631889343262,0.8565202951431274,0.9783610105514526,0.9651685953140259
bbj,0.9414238929748535,0.8673667311668396,0.9692738652229309,0.9815472364425659
ewe,0.964858889579773,0.8780552744865417,0.9632614254951477,0.9849812388420105
fon,0.9353088140487671,0.8683272004127502,0.9546400308609009,0.980202853679657
hau,0.9018569588661194,0.8725571036338806,0.9603591561317444,0.970600962638855
ibo,0.9559264183044434,0.867009699344635,0.988187313079834,0.9856423735618591
kin,0.9724346995353699,0.8574857711791992,0.987655520439148,0.9880900979042053
lug,0.9761220216751099,0.8677923083305359,0.9735788106918335,0.9550364017486572
luo,0.9738631248474121,0.881763219833374,0.976444661617279,0.9849148988723755
mos,0.9513425827026367,0.8609204888343811,0.9499518871307373,0.9814403057098389
nya,0.9659205079078674,0.871377170085907,0.9760785698890686,0.98610520362854
pcm,0.9706221222877502,0.8779997229576111,0.9321635961532593,0.9639367461204529
sna,0.9513940215110779,0.8705008625984192,0.9891602396965027,0.9715344905853271
swa,0.9839074015617371,0.8693687915802002,0.9488801956176758,0.9568313956260681
tsn,0.9629365801811218,0.870898962020874,0.989155650138855,0.9822178483009338
twi,0.9715421795845032,0.8762279748916626,0.9812230467796326,0.990821897983551
wol,0.9498553276062012,0.8580408096313477,0.9832093715667725,0.977631688117981
xho,0.9490033388137817,0.8648322224617004,0.9886487126350403,0.9791963696479797
yor,0.9385852217674255,0.8625400066375732,0.9738370776176453,0.9796628355979919
zul,0.961333155632019,0.8665104508399963,0.9853564500808716,0.9849973320960999
