,PER,ORG,LOC,DATE,Mean
lug,0.93706334,0.9722659,0.9904627,0.96021205,0.965001
luo,0.9218589,0.9820991,0.9503732,0.9759222,0.9575634
kin,0.93267107,0.97776574,0.9382387,0.9750534,0.95593226
twi,0.9291179,0.9810693,0.9422714,0.96947503,0.95548344
swa,0.9221832,0.97912675,0.9589425,0.9614099,0.9554156
ibo,0.9289226,0.96578705,0.9195061,0.97861564,0.94820786
ewe,0.94716,0.9743065,0.9343735,0.92751116,0.94583786
tsn,0.9307665,0.9788419,0.88770044,0.9775877,0.94372416
sna,0.93033993,0.9812775,0.8751249,0.9849455,0.942922
zul,0.9528507,0.96685475,0.8570338,0.97755706,0.9385741
bam,0.9390239,0.952397,0.893778,0.9662554,0.9378636
nya,0.9153224,0.98061043,0.8938077,0.95543563,0.9362941
hau,0.9518652,0.9652681,0.843788,0.98382384,0.9361863
fon,0.9442314,0.9732775,0.87254566,0.9516905,0.93543625
xho,0.9606669,0.9563694,0.8108953,0.99332124,0.93031317
wol,0.95173496,0.9639995,0.82340974,0.97038096,0.92738134
mos,0.9414669,0.9671259,0.8604843,0.9354825,0.9261399
pcm,0.94309676,0.9670584,0.93902683,0.8235197,0.91817546
bbj,0.9409448,0.9470389,0.8118877,0.9166221,0.90412337
yor,0.8758201,0.92843676,0.8012202,0.9451948,0.88766795
