,DATE,ORG,PER,LOC,Mean
lug,0.9900306921053406,0.9906328033616206,0.9970603465650727,0.9943977980440285,0.9930304100190155
kin,0.9865918232743482,0.9922666009499775,0.9909093348176673,0.9950612509279617,0.9912072524924886
nya,0.9827733915188369,0.9925326243538278,0.9945060008049753,0.993382909413212,0.9907987315227129
sna,0.9881290412878824,0.9895617350326062,0.9924975284096907,0.9907833040093735,0.9902429021848883
xho,0.9888858820030084,0.9872440731774403,0.9832484045623656,0.9882840285765064,0.9869155970798302
luo,0.9760850286860769,0.9834431936996718,0.9897993017777205,0.9900269282114623,0.9848386130937329
zul,0.9774802113285093,0.9871652170942702,0.9901530919834741,0.9839478369074871,0.9846865893284351
tsn,0.9807340414135881,0.9860749802942037,0.9888754186425306,0.9825711768809448,0.9845639043078167
hau,0.9811247372685782,0.9815545673571938,0.9827778887137375,0.9784344245250809,0.9809729044661476
wol,0.974921193508532,0.9830894873289909,0.9845841152381544,0.981136669745397,0.9809328664552687
ibo,0.9775757459580137,0.9658804388321606,0.988064530676248,0.9841604496710448,0.9789202912843666
twi,0.9707320580295196,0.9848594153283956,0.9811690393350939,0.9779518344851321,0.9786780867945353
swa,0.9663147755927268,0.9743257053005935,0.9907399062319201,0.9759567512750582,0.9768342846000747
ewe,0.9692554648955514,0.9782506966752028,0.9715541046753596,0.9743140964010039,0.9733435906617794
bam,0.9766027666838274,0.9660305785197038,0.9779307321148089,0.9709775103635183,0.9728853969204645
mos,0.9607533244462865,0.9788039199235323,0.9814278340549644,0.9648942274691771,0.97146982647349
yor,0.9481164292721039,0.9633483529187732,0.9621748550817086,0.950803387530205,0.9561107562006976
pcm,0.9246906324892052,0.9527111441163061,0.9766922673166427,0.9569709395415897,0.9527662458659358
fon,0.8767671817725495,0.9524354587043157,0.9661463314107682,0.9423658719452681,0.9344287109582254
bbj,0.9177012851917863,0.9326639210094559,0.9590100716706486,0.888542621615172,0.9244794748717657
