,DATE,PER,LOC,ORG,Mean
lug,0.74358886,0.96415085,0.7715289,0.9176258,0.8492236
hau,0.73925084,0.889895,0.82267404,0.9045074,0.8390818
swa,0.76166147,0.8702331,0.82952476,0.8943019,0.8389303
kin,0.70464087,0.9307825,0.77864265,0.91173893,0.83145124
luo,0.70067364,0.92775637,0.7984286,0.893361,0.8300549
sna,0.75222623,0.864229,0.7754991,0.92730045,0.8298137
wol,0.7032739,0.8995138,0.84090906,0.8734596,0.8292891
ewe,0.73142123,0.9059557,0.784099,0.88517505,0.8266627
pcm,0.7182832,0.8765427,0.8022113,0.89568216,0.8231798
ibo,0.6876752,0.93328047,0.75924325,0.9022495,0.82061213
mos,0.7076856,0.9162786,0.767576,0.8833524,0.8187231
xho,0.825853,0.78140825,0.8507759,0.7931603,0.81279933
tsn,0.733539,0.83412886,0.79733926,0.86870563,0.80842817
twi,0.7041443,0.89436454,0.76365566,0.8602352,0.8055999
zul,0.8301354,0.7612213,0.7678852,0.84147906,0.80018026
yor,0.7281971,0.8042165,0.79561317,0.8479397,0.7939916
nya,0.7075484,0.7823901,0.76913285,0.9025098,0.79039526
fon,0.6857423,0.85707855,0.7662719,0.851207,0.79007494
bbj,0.6929636,0.8899888,0.73398095,0.8415779,0.7896278
bam,0.7170882,0.87673736,0.75059235,0.8050444,0.7873656
