,ORG,PER,DATE,LOC,Mean
lug,0.9819846,0.9974326,0.9609102,0.9890516,0.98234475
luo,0.989961,0.99067044,0.97419107,0.9343226,0.9722863
swa,0.9870995,0.98486423,0.95999455,0.95449793,0.971614
twi,0.99137855,0.9920651,0.96462226,0.9362949,0.9710902
kin,0.98763436,0.98449486,0.97595555,0.91719294,0.96631944
ibo,0.982627,0.99189514,0.9769712,0.9028118,0.96357626
ewe,0.9770199,0.9944839,0.9244648,0.9218813,0.9544624
sna,0.987149,0.9909649,0.9823309,0.85187346,0.9530796
nya,0.9903316,0.9876285,0.9517387,0.8704742,0.9500433
tsn,0.96726745,0.98136425,0.9747599,0.8727423,0.9490335
bam,0.95068204,0.992143,0.9642137,0.87266976,0.9449271
zul,0.9698447,0.9877975,0.9768216,0.8375577,0.9430053
fon,0.9739271,0.99035203,0.9507834,0.8531852,0.9420619
hau,0.9641672,0.9920419,0.98309124,0.8209971,0.9400743
pcm,0.9822942,0.9961285,0.82673985,0.9414997,0.93666553
mos,0.9639311,0.99246776,0.9345799,0.84092224,0.9329753
wol,0.9650355,0.99133277,0.97166467,0.79770803,0.9314352
xho,0.9554854,0.9883522,0.99213374,0.7786074,0.92864466
bbj,0.94144046,0.9902551,0.9140195,0.8013608,0.911769
yor,0.949223,0.9283163,0.94560957,0.78102124,0.90104246
