,ORG,LOC,DATE,PER,Mean
lug,0.9948063,0.99608743,0.98690724,0.975494,0.9883237
kin,0.9902515,0.99492955,0.98743093,0.9717595,0.98609287
nya,0.9912525,0.99267685,0.98586667,0.9732169,0.9857533
sna,0.9901752,0.9913523,0.98847246,0.9707644,0.9851911
tsn,0.988971,0.9863284,0.9841373,0.9688166,0.9820633
zul,0.9847293,0.9901781,0.9822934,0.97083527,0.982009
xho,0.99012804,0.9898886,0.9902841,0.9537896,0.9810226
luo,0.98488855,0.98827183,0.9804028,0.96690434,0.9801169
hau,0.97819775,0.9797619,0.9837884,0.9637661,0.97637856
wol,0.98179877,0.982553,0.9746262,0.96546805,0.97611153
ibo,0.9759493,0.9831745,0.96671885,0.9625051,0.97208697
swa,0.9736742,0.9750732,0.9707408,0.96165293,0.9702853
bam,0.96276206,0.96743804,0.97801185,0.9558311,0.96601075
ewe,0.9685766,0.969187,0.96695215,0.94900596,0.9634304
mos,0.97051436,0.95811087,0.9647517,0.9601027,0.96336985
twi,0.9782823,0.9694423,0.9551941,0.95027685,0.9632989
yor,0.95794964,0.9550568,0.94665635,0.9402401,0.9499757
pcm,0.9543896,0.9465107,0.9324451,0.9424072,0.94393814
fon,0.94311845,0.9419353,0.890996,0.9339667,0.92750406
bbj,0.8845001,0.8896537,0.9130189,0.920599,0.9019429
