,LOC,PER,ORG,DATE
bam,,,0.9599978923797607,
bbj,0.9344029426574707,,0.9645750522613525,
ewe,,0.9725651741027832,0.966223418712616,
fon,,0.9581787586212158,,
hau,,0.9829007983207703,0.9806427955627441,
ibo,0.9788215160369873,,0.9660511612892151,
kin,,,0.9729827642440796,
lug,,0.9866942167282104,0.9868264198303223,
luo,,0.9815975427627563,0.973309338092804,
mos,,0.978312075138092,0.9716230034828186,
nya,,,0.9747454524040222,
pcm,0.9416074156761169,0.9777908325195312,,
sna,0.9827141165733337,0.9787219762802124,,
swa,,0.9760013818740845,,
tsn,0.9634214043617249,,0.962234377861023,
twi,,0.9819397926330566,,
wol,,,0.972675085067749,
xho,0.9753760695457458,0.962553083896637,,
yor,0.9504575133323669,,0.9608935713768005,
zul,0.9706175923347473,,,
