,LOC,DATE,ORG,PER,Mean
lug,0.76658994,0.6560724,0.90030205,0.91919374,0.8105395
luo,0.82374847,0.6581073,0.8702136,0.88536644,0.80935895
kin,0.7830051,0.6377178,0.86796623,0.89741766,0.7965267
pcm,0.796582,0.63852745,0.8300204,0.8349105,0.7750101
tsn,0.81451195,0.685866,0.838234,0.7592055,0.77445436
wol,0.7642285,0.65670216,0.83503616,0.8230299,0.76974916
sna,0.7619941,0.66123456,0.88529855,0.7626294,0.7677891
ewe,0.7756627,0.68991,0.8085302,0.79346263,0.76689136
hau,0.78045976,0.686238,0.7716942,0.8121306,0.7626306
nya,0.79478025,0.6491495,0.8869915,0.71321404,0.7610338
mos,0.7599914,0.6488071,0.8033308,0.82786155,0.75999767
swa,0.7654809,0.65343356,0.816032,0.8022833,0.75930744
ibo,0.7385406,0.6205602,0.81797993,0.84940225,0.7566207
twi,0.7611621,0.63484216,0.80284774,0.8037328,0.75064623
bam,0.742973,0.6964295,0.7677815,0.76446927,0.74291337
yor,0.7559645,0.6503615,0.78606963,0.76546216,0.73946446
bbj,0.68529284,0.6229791,0.7650057,0.79069006,0.71599185
zul,0.6299,0.77161515,0.73079133,0.69483924,0.70678645
xho,0.7469198,0.7289106,0.6773764,0.66035104,0.70338947
fon,0.71348554,0.6359834,0.7206603,0.6868254,0.68923867
