,LOC,PER,ORG,DATE,Mean
lug,0.9321672,0.9708573,0.9603195,0.92120826,0.946138
luo,0.92670906,0.96351564,0.95768845,0.8805178,0.93210775
twi,0.9088009,0.94877297,0.94764346,0.89172226,0.92423487
kin,0.87578213,0.9608898,0.9593879,0.8919556,0.92200387
nya,0.87169904,0.94306225,0.9592853,0.9041511,0.91954947
wol,0.89568484,0.95036626,0.95384467,0.8736342,0.9183825
mos,0.882748,0.9627986,0.9408802,0.88389516,0.9175805
tsn,0.8951256,0.95498353,0.9205303,0.8771852,0.9119562
zul,0.8764534,0.92019844,0.95772016,0.89310026,0.9118681
sna,0.89703995,0.91738844,0.966153,0.86025584,0.9102093
bam,0.88768286,0.9503633,0.91607994,0.8793179,0.90836096
swa,0.94143474,0.9237216,0.8868891,0.8750767,0.9067806
ibo,0.89849776,0.95939374,0.90713537,0.85031277,0.90383494
xho,0.83898103,0.9399533,0.9507892,0.877094,0.9017044
yor,0.86101615,0.90898395,0.93055046,0.8539525,0.88862574
bbj,0.85807765,0.95082295,0.9167556,0.8158342,0.88537264
ewe,0.88073444,0.8463576,0.9577619,0.84716225,0.88300407
fon,0.7628452,0.9401548,0.92648375,0.88897014,0.87961346
pcm,0.8242204,0.8358186,0.92616355,0.87784386,0.8660116
hau,0.622309,0.8972548,0.7152872,0.6585198,0.7233427
