,PER,LOC,ORG,DATE,Mean
kin,0.93790483,0.99274224,0.9872151,0.9916742,0.9773841
lug,0.9372253,0.9934228,0.98538256,0.98875463,0.9761963
nya,0.93632287,0.9908351,0.99013025,0.9857633,0.97576284
sna,0.93553114,0.98810804,0.9827833,0.9919447,0.97459185
luo,0.9343912,0.98716617,0.98005366,0.9780427,0.9699135
xho,0.92359924,0.98245716,0.97877777,0.9932617,0.969524
hau,0.9351079,0.976518,0.97674274,0.98634255,0.96867776
zul,0.93685853,0.97979444,0.9759262,0.9814633,0.9685106
twi,0.93490326,0.97940135,0.9843186,0.9750131,0.96840906
tsn,0.9290093,0.9751705,0.98188365,0.9844644,0.967632
swa,0.93553257,0.97680295,0.9814779,0.97652876,0.96758556
wol,0.93553334,0.97748387,0.9763284,0.980035,0.9673452
ibo,0.9272886,0.9855124,0.96304387,0.9774894,0.9633336
bam,0.92152023,0.9786105,0.96320796,0.9770684,0.9601018
mos,0.9281246,0.9639549,0.97318125,0.96192086,0.95679545
ewe,0.91558266,0.96508896,0.97114897,0.96829385,0.9550286
yor,0.9181406,0.944046,0.95427144,0.94939464,0.94146323
fon,0.91613907,0.94567114,0.9611157,0.91965246,0.9356446
pcm,0.92908716,0.9487551,0.9601253,0.89836687,0.9340836
bbj,0.92001384,0.8888718,0.9340756,0.93372476,0.91917145
