,ORG,DATE,LOC,PER,Mean
lug,0.99523926,0.98806727,0.995216,0.97488004,0.98835063
kin,0.9926511,0.9882724,0.99528927,0.9713932,0.9869015
nya,0.9925207,0.98649573,0.9927311,0.9732042,0.9862379
sna,0.9892768,0.98984194,0.99020225,0.97158104,0.9852255
zul,0.9870051,0.98423856,0.9879067,0.97174567,0.982724
xho,0.9884782,0.9917536,0.9895148,0.9590748,0.98220533
tsn,0.9874198,0.9843928,0.98395294,0.9652488,0.9802536
luo,0.9786667,0.97961295,0.9880854,0.9663466,0.9781779
wol,0.9803212,0.97381234,0.9826588,0.9671173,0.9759774
hau,0.9782178,0.9828444,0.976121,0.9637767,0.97524
ibo,0.9731485,0.9671962,0.9834414,0.96238756,0.97154343
swa,0.9715189,0.9704709,0.97133195,0.96231854,0.9689101
twi,0.97700536,0.96477044,0.97388387,0.95135784,0.9667544
bam,0.9624553,0.9788455,0.9663085,0.95626605,0.96596885
ewe,0.9696988,0.96872646,0.9688972,0.9443095,0.96290797
mos,0.9677534,0.9626747,0.96041024,0.9562291,0.96176684
yor,0.9553901,0.9498728,0.94864947,0.94313514,0.9492619
pcm,0.9585067,0.9304247,0.9477289,0.9421243,0.9446962
fon,0.9399248,0.88320947,0.9350202,0.93658817,0.92368567
bbj,0.9240233,0.9205243,0.88753605,0.92724925,0.9148332
