,ORG,DATE,PER,LOC,Mean
zul,0.79987043,0.77829754,0.59433234,0.8324425,0.75123566
xho,0.73954743,0.80670327,0.5895899,0.79023314,0.73151845
tsn,0.8169024,0.68183744,0.58224154,0.82730526,0.72707164
sna,0.90045947,0.6974595,0.57968783,0.70922524,0.721708
swa,0.86895347,0.7023986,0.57671714,0.7381662,0.7215588
nya,0.9150821,0.66549265,0.59708655,0.7020446,0.7199265
kin,0.9182093,0.6624204,0.5764593,0.7191166,0.7190514
hau,0.8940743,0.68076813,0.57215875,0.7162186,0.71580493
pcm,0.88006467,0.6994976,0.5787833,0.70454735,0.7157232
wol,0.86541927,0.65177333,0.5770449,0.7615101,0.7139369
ewe,0.8827722,0.67747974,0.5732585,0.7127432,0.71156347
lug,0.8726704,0.67818403,0.5747248,0.7172513,0.71070766
yor,0.84893656,0.678748,0.58694875,0.71344995,0.7070208
ibo,0.88442016,0.65149003,0.5753338,0.7100736,0.7053294
luo,0.89656794,0.6479177,0.57493806,0.6992657,0.70467234
twi,0.8725453,0.66289955,0.58417916,0.6979213,0.70438635
mos,0.87754047,0.6585609,0.5729631,0.68689996,0.6989911
bbj,0.842116,0.6609554,0.5740131,0.7155261,0.69815266
fon,0.83546484,0.6508805,0.5796327,0.69323975,0.68980443
bam,0.77724916,0.66713846,0.57580435,0.6927861,0.6782446
