,DATE,PER,ORG,LOC,Mean
lug,0.9873284,0.9980663,0.9970012,0.9973607,0.99493915
kin,0.9886002,0.9928504,0.993744,0.9960319,0.99280655
nya,0.98739636,0.99542403,0.9929217,0.9937275,0.9923674
sna,0.98928034,0.991243,0.99201804,0.993537,0.9915196
xho,0.98993385,0.9796275,0.99150866,0.9913575,0.9881069
tsn,0.98386395,0.98950696,0.99017787,0.98646903,0.9875044
zul,0.9795954,0.9916593,0.98580784,0.98975384,0.9867041
luo,0.97848165,0.9899615,0.98707944,0.9902698,0.98644805
wol,0.97498477,0.9848806,0.98473966,0.98315597,0.9819402
hau,0.9846577,0.98293525,0.979878,0.97888875,0.9815899
ibo,0.9703952,0.98617464,0.9783994,0.9855763,0.9801364
twi,0.9632397,0.98018646,0.9816439,0.97492313,0.9749983
swa,0.9684074,0.98079824,0.97493815,0.97487205,0.974754
ewe,0.9661076,0.9764739,0.97597504,0.97146034,0.97250426
bam,0.976758,0.97661203,0.9653941,0.9702669,0.97225773
mos,0.9645295,0.981404,0.9758247,0.95602244,0.96944517
yor,0.9475897,0.955467,0.9561973,0.95443773,0.9534229
pcm,0.9326507,0.9660907,0.9615735,0.95027745,0.95264804
fon,0.89784724,0.9620931,0.9492815,0.9439798,0.9383004
bbj,0.91742784,0.9442743,0.91537446,0.8815632,0.91466
