,LOC,PER,ORG,DATE,Mean
lug,0.69086766,0.7823466,0.6725349,0.60123396,0.68674576
twi,0.57874805,0.7059567,0.7214997,0.60793865,0.6535357
luo,0.5751231,0.69364446,0.7111325,0.6279409,0.65196025
ibo,0.5439978,0.7056296,0.6738255,0.63198197,0.6388587
swa,0.6024164,0.66279095,0.68812233,0.59951645,0.6382115
sna,0.5017651,0.6995475,0.6942588,0.64842945,0.6360002
kin,0.5560442,0.6610477,0.6925372,0.630739,0.635092
ewe,0.55973476,0.7304876,0.65469503,0.55502754,0.62498623
pcm,0.5847844,0.7533881,0.67390454,0.4815494,0.6234066
nya,0.51557904,0.67770016,0.713963,0.58607703,0.6233298
hau,0.4786141,0.7030679,0.6068711,0.6547178,0.61081773
xho,0.45076457,0.68084824,0.597325,0.70297676,0.60797864
zul,0.49135807,0.6786762,0.62677944,0.6349305,0.607936
tsn,0.5202116,0.6497177,0.6314504,0.6278277,0.60730183
fon,0.50253594,0.693964,0.635305,0.58657795,0.6045957
bam,0.5147455,0.7068858,0.58545536,0.6074729,0.6036399
wol,0.46278816,0.70062375,0.6109382,0.6203468,0.5986742
mos,0.4925867,0.7104807,0.6105683,0.5670458,0.5951704
bbj,0.4657858,0.69349056,0.5779084,0.5466918,0.5709691
yor,0.45567843,0.56336987,0.60016346,0.57995194,0.5497909
