Language,Cosine_Similarity
lug,0.95489097
kin,0.9486879
twi,0.9341994
luo,0.9298144
swa,0.92722183
bam,0.9237987
ewe,0.91937506
ibo,0.9178019
nya,0.9165168
tsn,0.9100531
pcm,0.8972578
hau,0.886773
mos,0.8855791
zul,0.8811251
sna,0.871665
xho,0.8710177
wol,0.86450714
fon,0.8424691
bbj,0.8305107
yor,0.7683482
