,1,2,3,4,5,6,7,8,9,10,11,12
kin,0.9995687752962112,0.9999218732118607,0.9999715834856033,0.9999289065599442,0.9927659779787064,0.9888839423656464,0.9859499484300613,0.9861953655878702,0.9888820648193359,0.9892926216125488,0.9879704713821411,0.9779942035675049
sna,0.9995324015617371,0.9999230653047562,0.9999709576368332,0.9999265074729919,0.9913521558046341,0.9848637133836746,0.9811603873968124,0.9835429588953654,0.9874862631162008,0.9883713126182556,0.9869489669799805,0.9773906668027242
lug,0.9997092038393021,0.9999508708715439,0.9999785125255585,0.999924048781395,0.9929317086935043,0.9886156171560287,0.9835290014743805,0.983387311299642,0.9871137738227844,0.9874579509099325,0.9861122369766235,0.9767988125483195
nya,0.9996584504842758,0.9999409914016724,0.9999757707118988,0.9999222606420517,0.993333488702774,0.9868741929531097,0.9799547344446182,0.9808459679285685,0.9849934975306193,0.9867158134778341,0.9862965146700541,0.9760897954305013
hau,0.999714270234108,0.9999516904354095,0.9999776929616928,0.999904602766037,0.9904901534318924,0.9857682585716248,0.98311647772789,0.9815105597178141,0.9852620561917623,0.9855533043543497,0.9846784671147665,0.9745939175287882
zul,0.9994954615831375,0.999917283654213,0.9999698251485825,0.9999154657125473,0.9904046207666397,0.9824696183204651,0.9780095964670181,0.9764490922292074,0.9827231367429098,0.9836829702059428,0.9833008249600729,0.9720831910769144
tsn,0.999456450343132,0.9999072998762131,0.9999645501375198,0.9998574256896973,0.9911836683750153,0.9849983900785446,0.9809000194072723,0.9753041466077169,0.9810563524564108,0.9824955463409424,0.9828780690828959,0.9703788359959921
xho,0.9995450228452682,0.9999261647462845,0.9999720305204391,0.9999180287122726,0.9916416108608246,0.9847195893526077,0.9769232720136642,0.9704427321751913,0.9789496461550394,0.9810090661048889,0.9812115430831909,0.969020942846934
ibo,0.999518483877182,0.9999154359102249,0.9999673366546631,0.9998829960823059,0.9907634556293488,0.9850301742553711,0.9808233380317688,0.9766530195871989,0.9825354814529419,0.9837839603424072,0.982994000116984,0.9685169259707133
luo,0.9993932992219925,0.9998991042375565,0.9999636113643646,0.9998435825109482,0.9917704164981842,0.9851544201374054,0.9813393652439117,0.9769392212231954,0.9803850452105204,0.9800540606180826,0.9811258713404337,0.9676010211308798
wol,0.9993264675140381,0.9998881667852402,0.9999587088823318,0.9998220950365067,0.9883715510368347,0.9812241047620773,0.9781491309404373,0.9747124711672465,0.9804028272628784,0.9801038503646851,0.9781711300214132,0.9646528561909994
twi,0.9995217174291611,0.9999154508113861,0.999968096613884,0.9998453557491302,0.9891158789396286,0.9821097999811172,0.9797602146863937,0.9792675574620565,0.982970138390859,0.9826985398928324,0.9827247063318888,0.964182992776235
mos,0.9994575530290604,0.9999179840087891,0.99996717274189,0.9998643547296524,0.9861954003572464,0.981407105922699,0.978052482008934,0.9779338041941324,0.9815165003140768,0.98179030418396,0.9796484311421713,0.9633802572886149
swa,0.9994233548641205,0.9998923391103745,0.9999506920576096,0.9998089224100113,0.9831783473491669,0.9695577919483185,0.9603333473205566,0.9498618245124817,0.9586048722267151,0.9642058412233988,0.9680954217910767,0.9559905131657919
ewe,0.9992287307977676,0.9998803436756134,0.9999494552612305,0.9997668862342834,0.9876751005649567,0.9787182956933975,0.9757680594921112,0.9700202544530233,0.9760181903839111,0.9780545234680176,0.976260264714559,0.9556037187576294
bam,0.9994743913412094,0.9999169558286667,0.9999672323465347,0.9998445361852646,0.9850424528121948,0.9757552593946457,0.968270793557167,0.9609932899475098,0.9638141989707947,0.968148410320282,0.9737751483917236,0.9479864041010538
yor,0.9987106174230576,0.9998008757829666,0.9999262541532516,0.9997107535600662,0.9750693142414093,0.9606005996465683,0.959289014339447,0.9500867128372192,0.9601573546727499,0.9578592975934347,0.9553122123082479,0.9413998126983643
fon,0.9987576901912689,0.999789834022522,0.9999259859323502,0.999774158000946,0.9766677767038345,0.9607491195201874,0.9581679850816727,0.9571438630421957,0.9667539397875468,0.9701187014579773,0.9703532656033834,0.9330730040868124
pcm,0.9987014085054398,0.9998055994510651,0.9999186396598816,0.9996204227209091,0.9811457395553589,0.9680215567350388,0.9601554274559021,0.954970121383667,0.9562636613845825,0.9607752362887064,0.9598798354466757,0.9286155502001444
bbj,0.998967632651329,0.9998448491096497,0.9999285638332367,0.9997386932373047,0.9724880307912827,0.959507629275322,0.9590257257223129,0.9497423569361368,0.9611118038495382,0.9637478391329447,0.9628698825836182,0.9060321847597758
