,PER,LOC,ORG,DATE,Mean
zul,0.5952811,0.82604027,0.8282052,0.7373375,0.746716
tsn,0.583086,0.8358453,0.8442363,0.67236793,0.73388386
swa,0.57921875,0.7386605,0.8868226,0.6920936,0.7241989
xho,0.5926085,0.777753,0.7575418,0.7610997,0.7222508
sna,0.57987714,0.7095033,0.9116417,0.6752527,0.7190687
lug,0.57400656,0.70807284,0.90297616,0.6747564,0.71495306
pcm,0.5808239,0.7267504,0.8855685,0.6652537,0.71459913
hau,0.5712855,0.7151015,0.89624584,0.6742481,0.7142203
nya,0.5897406,0.7057501,0.9055093,0.6540984,0.71377456
kin,0.57553756,0.7083274,0.9121129,0.6528874,0.7122163
wol,0.57740057,0.7501067,0.86002564,0.64706206,0.70864874
luo,0.57576483,0.7094132,0.8943906,0.6480593,0.706907
ewe,0.57273614,0.70951915,0.8830849,0.66164434,0.7067461
yor,0.58538514,0.7324344,0.82862675,0.6706507,0.70427424
twi,0.57971084,0.70810634,0.8681085,0.6527066,0.7021581
mos,0.57412225,0.7108377,0.8678502,0.65123224,0.7010106
ibo,0.57371366,0.7015196,0.88580614,0.6396432,0.70017064
fon,0.5813764,0.69765234,0.85849833,0.64209163,0.6949047
bbj,0.5724264,0.6868367,0.8446379,0.64873195,0.6881582
bam,0.57773507,0.69106275,0.79620975,0.6621962,0.68180096
