,DATE,PER,LOC,ORG,Mean
lug,0.8053905,0.6901642,0.85020363,0.8029542,0.78717816
kin,0.79245335,0.68899095,0.8188332,0.77930087,0.7698946
nya,0.7889979,0.6877285,0.8064517,0.778129,0.76532674
sna,0.79749995,0.67670155,0.8081529,0.77594244,0.76457417
luo,0.7870323,0.6853285,0.80322665,0.77195096,0.7618846
tsn,0.7881352,0.68275386,0.7715181,0.76917565,0.7528957
wol,0.772205,0.6837234,0.7875738,0.7485348,0.7480092
zul,0.7547419,0.68306553,0.7722753,0.74319386,0.73831916
ibo,0.7607143,0.67698354,0.7513701,0.72690773,0.7289939
bam,0.761425,0.6808521,0.7515165,0.7202004,0.7284986
twi,0.7439528,0.6864028,0.74624246,0.7364745,0.72826815
xho,0.73620886,0.6797136,0.7649006,0.7314783,0.7280753
ewe,0.7424854,0.67790294,0.7446743,0.7355857,0.7251621
mos,0.7384882,0.6768085,0.74291444,0.7300149,0.7220565
pcm,0.7174834,0.6816317,0.7433198,0.7411916,0.7209066
hau,0.70335686,0.68095076,0.74722487,0.72957766,0.71527755
swa,0.71796185,0.68542445,0.71849585,0.7367387,0.7146552
yor,0.72283465,0.6738074,0.7234019,0.70873255,0.7071941
fon,0.6909965,0.67218566,0.7040137,0.70685303,0.6935122
bbj,0.70221436,0.67119086,0.7029241,0.6949054,0.6928086
