layer,model,rank_type,language,swd_mean
1,xlmr,top5,twi,0.00912900849698417
1,xlmr,top5,kin,0.009165874123482354
1,xlmr,top5,ibo,0.00948524915543203
1,xlmr,top5,nya,0.009845851273894368
1,xlmr,top5,tsn,0.010047365879472636
1,xlmr,worst5,hau,0.012636508359946674
1,xlmr,worst5,yor,0.012340152907654556
1,xlmr,worst5,bam,0.012174477377357107
1,xlmr,worst5,fon,0.011863717557844211
1,xlmr,worst5,pcm,0.011499604362825266
2,xlmr,top5,twi,0.006463136836373451
2,xlmr,top5,kin,0.006591432075879311
2,xlmr,top5,ibo,0.006839182325961701
2,xlmr,top5,nya,0.006895454064874684
2,xlmr,top5,tsn,0.007114644947478155
2,xlmr,worst5,pcm,0.009544781702288674
2,xlmr,worst5,hau,0.008877313431071343
2,xlmr,worst5,yor,0.008677178294306032
2,xlmr,worst5,swa,0.008538172792782461
2,xlmr,worst5,fon,0.008433275522406802
3,xlmr,top5,twi,0.005889599436954995
3,xlmr,top5,ibo,0.006016875236582564
3,xlmr,top5,kin,0.006111382214328387
3,xlmr,top5,luo,0.006228940794130722
3,xlmr,top5,zul,0.006231532059587153
3,xlmr,worst5,hau,0.008183033114164573
3,xlmr,worst5,swa,0.008179950201338215
3,xlmr,worst5,pcm,0.008092532546243092
3,xlmr,worst5,yor,0.00761078141181315
3,xlmr,worst5,lug,0.0072519186309136785
4,xlmr,top5,tsn,0.006132120143320208
4,xlmr,top5,kin,0.0061568100823024
4,xlmr,top5,twi,0.006445544654638979
4,xlmr,top5,ibo,0.006460272527192501
4,xlmr,top5,luo,0.006506813726218752
4,xlmr,worst5,hau,0.008644802407616226
4,xlmr,worst5,swa,0.008454419203644647
4,xlmr,worst5,pcm,0.0083742983169941
4,xlmr,worst5,bam,0.008140006936400823
4,xlmr,worst5,yor,0.00785328645156369
5,xlmr,top5,tsn,0.0062113464769026905
5,xlmr,top5,twi,0.006231399249600145
5,xlmr,top5,luo,0.006320109305988808
5,xlmr,top5,kin,0.006346672473455328
5,xlmr,top5,zul,0.006460046245592821
5,xlmr,worst5,hau,0.008179451690125461
5,xlmr,worst5,pcm,0.007933629786862184
5,xlmr,worst5,bam,0.007904584081416033
5,xlmr,worst5,bbj,0.007778802854204514
5,xlmr,worst5,swa,0.007630953495436188
6,xlmr,top5,twi,0.007288068959269367
6,xlmr,top5,luo,0.007623606221613954
6,xlmr,top5,kin,0.007774870334060324
6,xlmr,top5,tsn,0.00790395087477691
6,xlmr,top5,zul,0.008169110475819252
6,xlmr,worst5,pcm,0.009985669111642892
6,xlmr,worst5,yor,0.009970799592679214
6,xlmr,worst5,swa,0.009609147542164465
6,xlmr,worst5,hau,0.009499882742375121
6,xlmr,worst5,lug,0.009461833906584616
7,xlmr,top5,twi,0.005671179890820592
7,xlmr,top5,ewe,0.006336320012754489
7,xlmr,top5,tsn,0.006442120715140239
7,xlmr,top5,ibo,0.006572971891576647
7,xlmr,top5,kin,0.0066775742181259075
7,xlmr,worst5,yor,0.009626203466723382
7,xlmr,worst5,xho,0.008339871443695301
7,xlmr,worst5,bam,0.008218880622735014
7,xlmr,worst5,luo,0.008103336849065576
7,xlmr,worst5,hau,0.007824731884587285
8,xlmr,top5,nya,0.007259791979474055
8,xlmr,top5,bbj,0.007334508194162481
8,xlmr,top5,lug,0.007341543770204832
8,xlmr,top5,wol,0.007381385504080147
8,xlmr,top5,mos,0.007467902797391919
8,xlmr,worst5,hau,0.009901855361476919
8,xlmr,worst5,ewe,0.009476630673058631
8,xlmr,worst5,luo,0.009062978656402265
8,xlmr,worst5,yor,0.009036176130848617
8,xlmr,worst5,tsn,0.008675051968263384
9,xlmr,top5,lug,0.006985659914183391
9,xlmr,top5,fon,0.0071035750383998675
9,xlmr,top5,ibo,0.007274850400032544
9,xlmr,top5,luo,0.007282634939050088
9,xlmr,top5,kin,0.007295355293687559
9,xlmr,worst5,yor,0.011023796569133992
9,xlmr,worst5,bam,0.009208877552585667
9,xlmr,worst5,hau,0.008618333417871327
9,xlmr,worst5,swa,0.00805954631247611
9,xlmr,worst5,ewe,0.00796089524525693
10,xlmr,top5,twi,0.006769470167607021
10,xlmr,top5,nya,0.006949844202608801
10,xlmr,top5,fon,0.007468296714857085
10,xlmr,top5,mos,0.0076333663267481216
10,xlmr,top5,wol,0.007637602927540381
10,xlmr,worst5,bam,0.01121396671533148
10,xlmr,worst5,yor,0.010765007427835371
10,xlmr,worst5,ibo,0.009927390915436263
10,xlmr,worst5,xho,0.008593891422303082
10,xlmr,worst5,hau,0.008538076515984963
11,xlmr,top5,ewe,0.006677020758388608
11,xlmr,top5,twi,0.006905794346190912
11,xlmr,top5,mos,0.007019373267667106
11,xlmr,top5,nya,0.007272792952941624
11,xlmr,top5,swa,0.007319735246862062
11,xlmr,worst5,bam,0.010219392838280328
11,xlmr,worst5,yor,0.00892309218011178
11,xlmr,worst5,ibo,0.008662558987225566
11,xlmr,worst5,xho,0.008247607232533483
11,xlmr,worst5,lug,0.008161265415083108
12,xlmr,top5,mos,0.002042581141381561
12,xlmr,top5,ewe,0.0020627035680149675
12,xlmr,top5,twi,0.0021454840754510465
12,xlmr,top5,wol,0.0021555479834963385
12,xlmr,top5,kin,0.0021676186045927657
12,xlmr,worst5,hau,0.002882160252132356
12,xlmr,worst5,yor,0.002830157122843957
12,xlmr,worst5,bam,0.0028197143733450503
12,xlmr,worst5,ibo,0.002794267552189922
12,xlmr,worst5,bbj,0.0027244000149266867
