layer,best_config,tokens,ctx_window,score_mean_over_langs,bam,bbj,ewe,fon,hau,ibo,kin,lug,luo,mos,nya,pcm,sna,swa,tsn,twi,wol,xho,yor,zul
1,config_3_clstrue_ctxtrue,300,2,0.9998345650732517,0.9996178150177002,0.999885082244873,0.9997296929359436,0.9995879828929901,0.9998558461666107,0.9997800141572952,0.9999438375234604,0.999936118721962,0.9998559504747391,0.9998282045125961,0.9999087452888489,0.9999109357595444,0.9999190419912338,0.9998777359724045,0.9998964220285416,0.9998505860567093,0.9997683465480804,0.999886766076088,0.9997885674238205,0.9998636096715927
2,config_3_clstrue_ctxtrue,500,2,0.9999854147434235,0.9999713599681854,0.9999842643737793,0.9999816417694092,0.9999737739562988,0.9999843388795853,0.9999796748161316,0.9999921172857285,0.9999935626983643,0.9999904185533524,0.9999796599149704,0.9999929219484329,0.9999872148036957,0.9999895989894867,0.9999882727861404,0.9999918192625046,0.999982014298439,0.9999855160713196,0.9999890178442001,0.9999814629554749,0.9999896436929703
3,config_3_clstrue_ctxtrue,400,2,0.9999917253851891,0.9999906569719315,0.9999910295009613,0.9999896585941315,0.9999877661466599,0.9999928176403046,0.9999920725822449,0.999995619058609,0.9999959170818329,0.9999919235706329,0.9999920874834061,0.9999956637620926,0.9999808669090271,0.9999943822622299,0.9999854117631912,0.9999925047159195,0.9999918192625046,0.9999921321868896,0.9999950081110001,0.9999916702508926,0.9999954998493195
4,config_3_clstrue_ctxtrue,500,2,0.9999955698847771,0.9999954998493195,0.999994620680809,0.9999950379133224,0.9999950379133224,0.9999955147504807,0.9999961853027344,0.9999959766864777,0.9999961107969284,0.9999960511922836,0.9999965578317642,0.9999969601631165,0.9999920576810837,0.9999951869249344,0.9999938011169434,0.999996230006218,0.9999957829713821,0.9999954700469971,0.999997079372406,0.999995231628418,0.9999970048666
5,config_3_clstrue_ctxtrue,500,2,0.9999813921749592,0.9999708831310272,0.9999809712171555,0.9999809861183167,0.9999706149101257,0.9999814927577972,0.9999818652868271,0.9999864846467972,0.9999881684780121,0.9999828487634659,0.9999787360429764,0.9999859482049942,0.9999795705080032,0.9999838322401047,0.999982088804245,0.9999840706586838,0.9999740272760391,0.9999800324440002,0.9999860227108002,0.9999826997518539,0.9999864995479584
6,config_3_clstrue_ctxtrue,500,2,0.9999989502131938,0.9999982118606567,0.9999988973140717,0.9999989420175552,0.9999982416629791,0.9999989569187164,0.999998927116394,0.9999992847442627,0.9999994337558746,0.9999990463256836,0.9999988228082657,0.9999992847442627,0.9999988079071045,0.9999991357326508,0.9999989718198776,0.9999991357326508,0.9999983906745911,0.9999989718198776,0.9999991804361343,0.9999991059303284,0.9999992549419403
7,config_1_clstrue_ctxfalse,500,0,0.9999953292310237,0.9999956786632538,0.9999950081110001,0.9999958127737045,0.9999968260526657,0.9999930560588837,0.9999960660934448,0.9999972581863403,0.9999955594539642,0.999995619058609,0.9999926388263702,0.9999933242797852,0.9999972283840179,0.9999961107969284,0.9999975264072418,0.9999931454658508,0.9999953359365463,0.9999940395355225,0.9999952018260957,0.9999970495700836,0.9999940991401672
8,config_3_clstrue_ctxtrue,500,2,0.9999934867024421,0.9999897480010986,0.9999844580888748,0.9999932199716568,0.9999960362911224,0.99997977912426,0.9999962747097015,0.9999967217445374,0.999997541308403,0.999997153878212,0.9999819397926331,0.9999967664480209,0.9999939650297165,0.9999968260526657,0.9999929368495941,0.9999971687793732,0.9999917298555374,0.9999959617853165,0.9999976456165314,0.9999962151050568,0.9999976456165314
9,config_3_clstrue_ctxtrue,200,2,0.9999960735440254,0.9999979436397552,0.9999969601631165,0.9999939501285553,0.9999977151552836,0.9999945362408956,0.9999977350234985,0.9999934832255045,0.9999964237213135,0.9999936819076538,0.9999848902225494,0.9999987781047822,0.9999955296516418,0.9999986588954926,0.9999967813491821,0.9999985694885254,0.9999936620394388,0.9999980131785074,0.9999972879886627,0.9999977052211761,0.9999991655349731
10,config_1_clstrue_ctxfalse,500,0,0.9999928126732508,0.999996542930603,0.9999931653340658,0.9999967614809672,0.9999836484591166,0.9999934236208597,0.9999914367993673,0.999994695186615,0.9999927481015524,0.9999916553497314,0.9999930063883462,0.9999964833259583,0.9999801913897196,0.9999955296516418,0.9999897082646688,0.9999911387761434,0.9999982118606567,0.9999950130780538,0.9999914169311523,0.999994695186615,0.9999967813491821
11,config_3_clstrue_ctxtrue,500,3,0.9999788999557495,0.9999789396921793,0.9999726812044779,0.9999834497769674,0.9999674161275228,0.9999797344207764,0.9999794165293375,0.9999869664510092,0.9999855359395345,0.9999768733978271,0.9999733964602152,0.9999863306681315,0.9999770124753317,0.999984840552012,0.999978224436442,0.9999834299087524,0.9999825755755106,0.9999801317850748,0.9999709129333496,0.9999663432439169,0.9999837875366211
12,config_1_clstrue_ctxfalse,500,0,0.9995235761006673,0.9996438423792521,0.99964306751887,0.9997263749440511,0.998845636844635,0.9990809361139933,0.9996872544288635,0.999762217203776,0.9997387528419495,0.9997608462969462,0.9996842344601949,0.9997236927350363,0.9980104168256124,0.9996504982312521,0.9996639092763265,0.9994931618372599,0.9996739625930786,0.9997040828069051,0.9996275703112284,0.9996470808982848,0.9997039834658304
