Language,Cosine_Similarity
lug,0.96563715
kin,0.96182334
xho,0.96163285
zul,0.9598825
nya,0.92961335
sna,0.9238577
luo,0.90813893
tsn,0.9026355
hau,0.8835879
wol,0.8725788
ibo,0.85560155
ewe,0.8466201
twi,0.84392095
bam,0.8403714
mos,0.81798553
swa,0.77622074
pcm,0.7465184
fon,0.7183943
yor,0.71370065
bbj,0.6855235
