,DATE,PER,ORG,LOC
bam,0.9999901652336121,0.9999363422393799,0.9999727010726929,0.9999946355819702
bbj,0.9999777674674988,0.9999340772628784,0.9999887943267822,0.9999834895133972
ewe,0.9999826550483704,0.9999345541000366,0.9999892711639404,0.9999932050704956
fon,0.9999779462814331,0.9998842477798462,0.9999932646751404,0.999984860420227
hau,0.9999348521232605,0.9999207258224487,0.9999833106994629,0.9999534487724304
ibo,0.9999945759773254,0.9999189376831055,0.9999892115592957,0.9999815225601196
kin,0.9999890327453613,0.9999647736549377,0.9999890327453613,0.999987781047821
lug,0.9999750256538391,0.9999223947525024,0.9999899864196777,0.9999845623970032
luo,0.9999915361404419,0.9999573826789856,0.9999882578849792,0.9999929666519165
mos,0.999965488910675,0.9998964071273804,0.9999879598617554,0.9999908208847046
nya,0.9999793171882629,0.9999371767044067,0.999988853931427,0.9999850988388062
pcm,0.9999305605888367,0.9999150037765503,0.9999836087226868,0.999992847442627
sna,0.9999938607215881,0.9999305009841919,0.9999878406524658,0.9999879002571106
swa,0.9999518394470215,0.9999508261680603,0.999981164932251,0.9999759793281555
tsn,0.9999932646751404,0.9999508261680603,0.9999880790710449,0.9999886751174927
twi,0.9999910593032837,0.9999393224716187,0.9999944567680359,0.9999911785125732
wol,0.9999719858169556,0.999925434589386,0.9999802112579346,0.9999788403511047
xho,0.9999740719795227,0.9999154806137085,0.9999857544898987,0.9999880194664001
yor,0.9999852776527405,0.9999355673789978,0.9999873042106628,0.9999876618385315
zul,0.9999887347221375,0.999919593334198,0.9999842643737793,0.9999946355819702
