,LOC,ORG,DATE,PER,Mean
xho,0.99943095,0.9965963,0.9979658,0.99686223,0.9977138
zul,0.9975367,0.9977722,0.99550647,0.99765366,0.9971173
hau,0.9986185,0.9997687,0.9909645,0.9984779,0.99695736
tsn,0.998857,0.9995892,0.98799413,0.999153,0.9963983
ewe,0.9970461,0.9994533,0.98957676,0.9991232,0.99629986
wol,0.9986932,0.9991956,0.9849796,0.99916726,0.9955089
yor,0.99663204,0.99924785,0.9873362,0.99877006,0.9954965
sna,0.99611247,0.99984574,0.98785,0.99758536,0.9953484
swa,0.99609196,0.9995321,0.98600805,0.99954027,0.99529314
bam,0.994952,0.9988874,0.9882575,0.9990049,0.9952755
lug,0.99516785,0.9998623,0.9862613,0.9992009,0.9951231
mos,0.9963815,0.9994359,0.9847138,0.99911636,0.9949119
pcm,0.99622315,0.99968827,0.9831777,0.9993334,0.9946056
luo,0.99549615,0.9998435,0.98325837,0.9992526,0.99446267
nya,0.9951928,0.99987525,0.98316216,0.9983549,0.9941463
kin,0.99609256,0.999878,0.98115355,0.999252,0.994094
twi,0.995245,0.99972576,0.98203397,0.9991599,0.99404114
ibo,0.9957262,0.9997305,0.979891,0.9991786,0.9936316
fon,0.9972064,0.99779713,0.9809426,0.99821186,0.99353945
bbj,0.99330074,0.99930245,0.9804415,0.99868584,0.9929326
