,ORG,PER,DATE,LOC
bam,0.9704269766807556,,,
bbj,0.9855396747589111,,,0.9486437439918518
ewe,0.9854249358177185,0.9831041097640991,,
fon,,0.980190634727478,,
hau,0.974949300289154,0.9865915775299072,,
ibo,0.9819422364234924,,,0.9580796957015991
kin,0.9686343669891357,,,
lug,0.9715649485588074,0.9627522230148315,,
luo,0.9701105356216431,0.967269778251648,,
mos,0.986078679561615,0.9745676517486572,,
nya,0.9827839732170105,,,
pcm,,0.9784883260726929,,0.9787181615829468
sna,,0.9772043228149414,,0.9723897576332092
swa,,0.9870529174804688,,
tsn,0.9839559197425842,,,0.9747772216796875
twi,,0.9874706864356995,,
wol,0.9811457991600037,,,
xho,,0.9683664441108704,,0.9728414416313171
yor,0.9828149676322937,,,0.9475229382514954
zul,,,,0.9668848514556885
