,ORG,PER,LOC,DATE
bam,0.9657509922981262,,0.9798638820648193,
bbj,0.9851967096328735,,0.9583361148834229,
ewe,0.9819616079330444,0.9862217903137207,,
fon,0.982354998588562,0.9837803840637207,0.9770311117172241,
hau,0.9731397032737732,0.9872117042541504,,
ibo,0.9784371256828308,,0.9598907828330994,
kin,0.9686453938484192,,0.9196723699569702,
lug,0.969597578048706,0.9807737469673157,,
luo,0.9678121209144592,0.9667512774467468,,
mos,0.9846672415733337,0.9763440489768982,,
nya,0.9802904725074768,,0.9776583909988403,
pcm,,0.9776927828788757,0.9780977368354797,
sna,,0.9789205193519592,0.9743670225143433,
swa,,0.9882798194885254,0.9748892784118652,
tsn,0.9832123517990112,,0.9744793176651001,
twi,0.9880287051200867,0.9893231391906738,0.9654077887535095,
wol,0.9779946208000183,,0.967498779296875,
xho,,0.9691345691680908,0.9720765352249146,
yor,0.9800836443901062,,0.9399163722991943,
zul,,,0.9687926769256592,
