,LOC,ORG,PER,DATE,Mean
lug,0.7282135,0.68912685,0.7898264,0.66225135,0.71735454
nya,0.7012483,0.72172177,0.7473797,0.6473226,0.7044181
kin,0.72505397,0.70759976,0.7008616,0.67489314,0.7021021
sna,0.68788636,0.67922765,0.6918399,0.66753733,0.68162286
luo,0.6791994,0.6672878,0.7302578,0.61519384,0.6729847
twi,0.643222,0.69218385,0.71810234,0.62418723,0.6694239
xho,0.66148305,0.6495728,0.6477357,0.68045586,0.65981185
ibo,0.6747798,0.6277061,0.70530677,0.62934047,0.6592833
swa,0.6409323,0.65638304,0.7140877,0.61486346,0.6565666
tsn,0.63802034,0.6730424,0.6790452,0.63501155,0.6562799
zul,0.6527758,0.6499793,0.68346125,0.6242313,0.6526119
hau,0.6393224,0.6514297,0.6717179,0.6409153,0.65084636
wol,0.6462295,0.64527273,0.68242836,0.62012154,0.648513
bam,0.645051,0.61641514,0.65693706,0.6098212,0.6320561
ewe,0.6126809,0.6442803,0.666548,0.5991861,0.6306738
mos,0.6089877,0.6433927,0.6709214,0.5868541,0.6275389
pcm,0.5842124,0.6204675,0.6838363,0.53050077,0.6047542
fon,0.5813884,0.62176627,0.6527272,0.55080044,0.6016706
yor,0.5797179,0.60220253,0.603713,0.5720367,0.5894175
bbj,0.52543515,0.58123934,0.6364993,0.56083244,0.5760015
