,LOC,PER,DATE,ORG
bam,0.9371286034584045,0.9129667282104492,,0.9190025329589844
bbj,0.8494270443916321,0.9280049204826355,,0.9347469210624695
ewe,0.934227466583252,0.9163677096366882,,0.9448444843292236
fon,0.9062600135803223,0.9216006994247437,,0.9469018578529358
hau,0.9008135795593262,0.9243078827857971,,0.955205500125885
ibo,0.9362657070159912,0.9038285613059998,,0.934905469417572
kin,0.9355894327163696,0.9399387836456299,,0.9621418118476868
lug,0.9158459901809692,0.9284939169883728,,0.9293943643569946
luo,0.9577429294586182,0.9334516525268555,,0.9642006158828735
mos,0.9034609198570251,0.8704668283462524,,0.9685310125350952
nya,0.8945978283882141,0.8990411162376404,,0.9213578104972839
pcm,0.8937975764274597,0.9120195508003235,,0.8921348452568054
sna,0.9064289331436157,0.9275749921798706,,0.9460445046424866
swa,0.9268411993980408,0.8668757677078247,,0.9271320700645447
tsn,0.915752112865448,0.9248647093772888,,0.9236755967140198
twi,0.9031484127044678,0.9229024052619934,,0.959593653678894
wol,0.8756651878356934,0.9376139044761658,,0.9416282176971436
xho,0.8560349345207214,0.9323779344558716,,0.9606765508651733
yor,0.8393297791481018,0.8769779801368713,,0.9436669945716858
zul,0.9013885259628296,0.9422810673713684,,0.9651889801025391
