Language,Cosine_Similarity
lug,0.99964136
tsn,0.99917567
pcm,0.999172
twi,0.9991059
swa,0.99906087
bam,0.9990383
kin,0.99902886
wol,0.9986824
ewe,0.99865264
nya,0.9986519
luo,0.998446
hau,0.9983402
zul,0.9983383
ibo,0.9983255
xho,0.9979513
mos,0.99783725
bbj,0.99777555
sna,0.99746203
fon,0.9968764
yor,0.99616516
