,LOC,ORG,DATE,PER,Mean
lug,0.9954535,0.9912274,0.98398256,0.9979518,0.9921538
kin,0.99475443,0.9917698,0.9863053,0.9928209,0.99141264
nya,0.99168193,0.9937532,0.98014987,0.99608314,0.990417
sna,0.9913422,0.9898421,0.98548913,0.990909,0.9893956
luo,0.98961353,0.98859787,0.9695294,0.9955877,0.9858321
xho,0.9857091,0.98281056,0.98798746,0.98245466,0.9847405
twi,0.98177755,0.98883986,0.9702805,0.9936842,0.98364556
tsn,0.9803539,0.9857541,0.97667664,0.9904479,0.9833081
ibo,0.98820984,0.97297764,0.97496456,0.99184036,0.9819981
zul,0.98473096,0.98000073,0.9718833,0.9893406,0.9814889
hau,0.979504,0.97944236,0.97957397,0.98638827,0.98122716
swa,0.9794012,0.9809903,0.96740645,0.9931595,0.9802394
wol,0.9813853,0.97907317,0.9719858,0.98849785,0.9802356
bam,0.9810427,0.96530396,0.96841335,0.9835535,0.9745784
ewe,0.9682933,0.9761679,0.9586741,0.98678994,0.9724813
mos,0.9649645,0.97738856,0.9570781,0.9889832,0.9721036
fon,0.9525036,0.9686673,0.9209797,0.9812074,0.9558395
yor,0.95165694,0.95674163,0.9423969,0.9597285,0.952631
pcm,0.9532808,0.97021496,0.89477754,0.99054503,0.9522046
bbj,0.8926421,0.93123245,0.9247777,0.974795,0.93086183
