,PER,DATE,ORG,LOC,Mean
lug,0.9998711,0.9990611,0.9995328,0.9981098,0.9991437
kin,0.99955773,0.99914503,0.9995355,0.99825656,0.9991237
sna,0.9992251,0.99905545,0.9993704,0.99849117,0.9990355
nya,0.99965984,0.9987374,0.9994268,0.99810797,0.99898297
luo,0.9994944,0.99894375,0.9992069,0.9982257,0.99896765
wol,0.99946505,0.99898756,0.9990325,0.99820775,0.99892324
tsn,0.999518,0.9989269,0.99928826,0.99760085,0.9988335
ibo,0.99948436,0.99885166,0.99897885,0.99794054,0.99881387
twi,0.999516,0.9983157,0.9992536,0.9976205,0.9986765
ewe,0.9994393,0.9982738,0.9991464,0.99762416,0.9986209
xho,0.99903953,0.9982451,0.9990034,0.9981015,0.9985974
zul,0.99900794,0.9984759,0.999007,0.99768823,0.9985448
pcm,0.9995493,0.99704254,0.99901545,0.99801785,0.9984063
mos,0.9992834,0.99769384,0.9988898,0.9977432,0.99840254
swa,0.99948436,0.9978473,0.99835646,0.997805,0.99837327
bam,0.9994029,0.9978366,0.9983527,0.9977558,0.998337
yor,0.99889576,0.9982716,0.99839205,0.9968927,0.99811304
hau,0.9992457,0.9966856,0.9986059,0.9975758,0.9980283
bbj,0.99941516,0.99703556,0.99808764,0.9967104,0.99781215
fon,0.99937093,0.9961787,0.99876064,0.9969019,0.9978031
