,DATE,PER,ORG,LOC,Mean
kin,0.9291457267632637,0.6219225427490094,0.8948108034095584,0.9147195471650635,0.8401496550217238
lug,0.9187201196542087,0.6245370219155828,0.8901186610696986,0.9226008863456999,0.8389941722462976
nya,0.9046785624142258,0.6585624546472023,0.8993648662560659,0.8912576996093245,0.8384658957317047
sna,0.9277098534936637,0.6243166333152926,0.8799701165521041,0.8360362696736281,0.8170082182586722
twi,0.8615290001429233,0.6295925183555957,0.8953909689001192,0.866006867238381,0.8131298386592548
luo,0.8687627543330002,0.6210961483893328,0.8705326723380844,0.8741184200475509,0.8086274987769921
swa,0.8264413487984454,0.6334355556524017,0.8590075946297258,0.8411326497101441,0.7900042871976793
ibo,0.9021333571042743,0.5996807476908907,0.8061993266842569,0.849104926879458,0.78927958958972
zul,0.8838743999125931,0.6157137044356377,0.8340033182287888,0.8136758585064534,0.7868168202708682
xho,0.9436292548030798,0.577852741244558,0.829045947059512,0.7935976151663783,0.786031389568382
hau,0.8799794784899609,0.6086170581020768,0.8631339549672892,0.7696346717328125,0.7803412908230348
tsn,0.906988452776039,0.595787069382224,0.843160398649242,0.7490275542030472,0.773740868752638
wol,0.8373499667257387,0.6209614941872011,0.8528297341430409,0.7793076127677404,0.7726122019559303
bam,0.835656265287016,0.5771985419910222,0.7753604117754237,0.8291625347783379,0.7543444384579499
mos,0.7557836256932906,0.5548152975156071,0.8443702114438737,0.7475121445808438,0.7256203198084038
ewe,0.7199404443717683,0.5494827773593066,0.8284387196047477,0.7820983447949917,0.7199900715327036
pcm,0.6425061755628492,0.6121558537034811,0.8070228722689262,0.8004250913861737,0.7155274982303577
fon,0.697124012186038,0.5236587218487994,0.779248488551182,0.7400887762287357,0.6850299997036887
yor,0.7310040192604634,0.5142425649650496,0.7712054167632472,0.6333847100140002,0.6624591777506901
bbj,0.6982015923938008,0.5740214037100226,0.6961005506483666,0.6212974941540848,0.6474052602265687
