layer,model,rank_type,language,pearson
2,xlmr,top5,twi,0.9850156527091976
2,xlmr,top5,kin,0.9849317277941975
2,xlmr,top5,luo,0.983626865083664
2,xlmr,top5,ibo,0.9824734773737275
2,xlmr,top5,lug,0.9822559295071199
2,xlmr,worst5,fon,0.9634105105317137
2,xlmr,worst5,hau,0.9658107959370631
2,xlmr,worst5,bbj,0.9663689867810143
2,xlmr,worst5,yor,0.9673959919524482
2,xlmr,worst5,pcm,0.9686946607757021
3,xlmr,top5,kin,0.9890899146378851
3,xlmr,top5,twi,0.988549276636517
3,xlmr,top5,luo,0.987249935701114
3,xlmr,top5,lug,0.9871144306125983
3,xlmr,top5,ibo,0.9867951090412028
3,xlmr,worst5,fon,0.9735574925104747
3,xlmr,worst5,hau,0.9743922875609036
3,xlmr,worst5,bbj,0.9752606366856816
3,xlmr,worst5,pcm,0.9761599560117007
3,xlmr,worst5,yor,0.9771127518969734
10,xlmr,top5,kin,0.9902805245665967
10,xlmr,top5,twi,0.9892770126715391
10,xlmr,top5,luo,0.9890775822701637
10,xlmr,top5,lug,0.9887546523910763
10,xlmr,top5,nya,0.9876669143621928
10,xlmr,worst5,bbj,0.9708029980260984
10,xlmr,worst5,fon,0.9732236322909388
10,xlmr,worst5,yor,0.9747714555312922
10,xlmr,worst5,hau,0.9754774471900867
10,xlmr,worst5,pcm,0.9764799449937749
12,xlmr,top5,kin,0.9992872745965351
12,xlmr,top5,luo,0.9992225324732722
12,xlmr,top5,nya,0.9991832453120312
12,xlmr,top5,sna,0.9991818175179868
12,xlmr,top5,lug,0.9990979204372339
12,xlmr,worst5,fon,0.9974740286448486
12,xlmr,worst5,bbj,0.9974852775798114
12,xlmr,worst5,yor,0.9979520319641718
12,xlmr,worst5,hau,0.9980126586990755
12,xlmr,worst5,pcm,0.9982839464278446
