,DATE,ORG,LOC,PER
bam,,0.7334796190261841,,
bbj,,0.6917608976364136,,
ewe,,0.6925519108772278,,0.638199508190155
fon,,,,0.6222023367881775
hau,,0.6871789693832397,,0.6553996801376343
ibo,,0.7111690044403076,0.7283819913864136,
kin,,0.7818222045898438,,
lug,,0.8361479640007019,,0.5195946097373962
luo,,0.6984918713569641,,0.6010779142379761
mos,,0.7495408654212952,,0.6376146674156189
nya,,0.7748692631721497,,
pcm,,,0.6737632155418396,0.5633559226989746
sna,,,0.7373414635658264,0.45130854845046997
swa,,,,0.5954342484474182
tsn,,0.7272568345069885,0.6999746561050415,
twi,,,,0.6974899172782898
wol,,0.7396911382675171,,
xho,,,0.6590056419372559,0.5269683599472046
yor,,0.6823669075965881,0.5078909397125244,
zul,,,0.6525801420211792,
