,LOC,DATE,ORG,PER,Mean
lug,0.9050304517919306,0.806498694557113,0.8861183169370809,0.9717727217651165,0.8923550462628103
kin,0.8963058954885902,0.8493685107494093,0.9045465369560104,0.8764963453576169,0.8816793221379067
twi,0.8434051073581313,0.7959979971962546,0.9232699160409876,0.9156595400072609,0.8695831401506586
sna,0.7568541019094231,0.9030653952258109,0.9007479962955122,0.9103042747605455,0.8677429420478229
luo,0.8418571098776424,0.8024313172572339,0.9038170736391081,0.8979973874722683,0.8615257220615632
ibo,0.797389103461283,0.897520652446364,0.854394912306993,0.8857265681792299,0.8587578090984676
nya,0.7988438341877019,0.8140999892438752,0.9261557365699435,0.8844928851739651,0.8558981112938715
swa,0.8601512769342753,0.747154589930939,0.8353975343005352,0.9018438703563979,0.8361368178805368
zul,0.758352049329944,0.8231858307714293,0.8972842338011056,0.8462737872761409,0.8312739752946549
tsn,0.7093844140124125,0.8452667465774343,0.8798734993084979,0.8787428877757194,0.828316886918516
xho,0.664669639939319,0.8863173880264217,0.8724522260986196,0.8744032118374526,0.8244606164754532
hau,0.6276790758697235,0.812631038771714,0.8554623370043036,0.8881808446677302,0.7959883240783678
ewe,0.7845300481487164,0.6259824868935454,0.8776246872626945,0.8847806238900552,0.793229461548753
wol,0.6450346684772282,0.7731459716340735,0.8727448345288924,0.878050501222296,0.7922439939656226
mos,0.7060539079886188,0.7111408667953303,0.8664364704893492,0.867611161337066,0.7878106016525911
bam,0.7153334806810924,0.7558696807158859,0.7719484184268445,0.8717964380350222,0.7787370044647113
pcm,0.792103994799521,0.5240055065849656,0.8146482932082372,0.8932028830421767,0.7559901694087251
fon,0.6118758899996158,0.6927513797972467,0.8201256535264706,0.8675761835849785,0.7480822767270779
yor,0.4989686168022733,0.710968085231112,0.8357095569593301,0.7622609808997636,0.7019768099731197
bbj,0.4402826438733696,0.6323567033769956,0.682113731306946,0.88836182205357,0.6607787251527202
