model,config,layer,layer_mean_cosine_over_languages
xlmr,use0_use0_con0_max250_bat32,1,0.9000427609769467
xlmr,use0_use0_con0_max250_bat32,2,0.949287167092138
xlmr,use0_use0_con0_max250_bat32,3,0.9627436009841863
xlmr,use0_use0_con0_max250_bat32,4,0.9598439684420945
xlmr,use0_use0_con0_max250_bat32,5,0.9657874149839965
xlmr,use0_use0_con0_max250_bat32,6,0.9594557531465131
xlmr,use0_use0_con0_max250_bat32,7,0.9665224797591531
xlmr,use0_use0_con0_max250_bat32,8,0.9651352271246647
xlmr,use0_use0_con0_max250_bat32,9,0.9614027872826482
xlmr,use0_use0_con0_max250_bat32,10,0.9607337370251727
xlmr,use0_use0_con0_max250_bat32,11,0.9665549540125793
xlmr,use0_use0_con0_max250_bat32,12,0.9961324605941442
xlmr,use0_use0_con0_max250_bat32,ALL,0.9594701926186864
xlmr,use0_use0_con0_max250_bat64,1,0.901806239068239
xlmr,use0_use0_con0_max250_bat64,2,0.9489853767948488
xlmr,use0_use0_con0_max250_bat64,3,0.9621726440093695
xlmr,use0_use0_con0_max250_bat64,4,0.9598755968101365
xlmr,use0_use0_con0_max250_bat64,5,0.9643785906013533
xlmr,use0_use0_con0_max250_bat64,6,0.9428104692154916
xlmr,use0_use0_con0_max250_bat64,7,0.9530584700869944
xlmr,use0_use0_con0_max250_bat64,8,0.9535901769242017
xlmr,use0_use0_con0_max250_bat64,9,0.9561620085716142
xlmr,use0_use0_con0_max250_bat64,10,0.955935084245102
xlmr,use0_use0_con0_max250_bat64,11,0.9622120382881458
xlmr,use0_use0_con0_max250_bat64,12,0.9954580513151601
xlmr,use0_use0_con0_max250_bat64,ALL,0.9547037288275546
xlmr,use0_use0_con0_max500_bat32,1,0.9076636803044662
xlmr,use0_use0_con0_max500_bat32,2,0.9520275369081365
xlmr,use0_use0_con0_max500_bat32,3,0.9648477741433605
xlmr,use0_use0_con0_max500_bat32,4,0.9632465568432543
xlmr,use0_use0_con0_max500_bat32,5,0.9682937071477596
xlmr,use0_use0_con0_max500_bat32,6,0.9627755503109426
xlmr,use0_use0_con0_max500_bat32,7,0.9693173928877232
xlmr,use0_use0_con0_max500_bat32,8,0.9683866787546813
xlmr,use0_use0_con0_max500_bat32,9,0.9696155306977902
xlmr,use0_use0_con0_max500_bat32,10,0.96951927820728
xlmr,use0_use0_con0_max500_bat32,11,0.9747735509071275
xlmr,use0_use0_con0_max500_bat32,12,0.9971521681225088
xlmr,use0_use0_con0_max500_bat32,ALL,0.9639682837695859
xlmr,use0_use0_con0_max500_bat64,1,0.9081122408013144
xlmr,use0_use0_con0_max500_bat64,2,0.9519202658887458
xlmr,use0_use0_con0_max500_bat64,3,0.9647988746329059
xlmr,use0_use0_con0_max500_bat64,4,0.9629381748434815
xlmr,use0_use0_con0_max500_bat64,5,0.9685057267658241
xlmr,use0_use0_con0_max500_bat64,6,0.9627854025948892
xlmr,use0_use0_con0_max500_bat64,7,0.969136155319051
xlmr,use0_use0_con0_max500_bat64,8,0.9685578175921883
xlmr,use0_use0_con0_max500_bat64,9,0.9695798614757474
