,PER,DATE,LOC,ORG,Mean
lug,0.6611834,0.79550886,0.82414865,0.79369867,0.7686349
kin,0.65927976,0.7847756,0.8040607,0.77274984,0.7552165
nya,0.6611737,0.79531336,0.7940779,0.76948565,0.7550127
sna,0.6541445,0.79528356,0.79233253,0.76982653,0.7528968
luo,0.653154,0.7902343,0.79098356,0.7653753,0.7499368
tsn,0.657182,0.7800759,0.76566595,0.75989664,0.74070513
wol,0.6533178,0.76234317,0.7613892,0.74834526,0.7313489
zul,0.6603472,0.7500615,0.7659115,0.74387896,0.73004985
ibo,0.6523929,0.7439026,0.7571458,0.72012025,0.7183904
bam,0.65591145,0.75760376,0.7342338,0.7142502,0.71549976
ewe,0.6560474,0.7287837,0.73550665,0.728958,0.712324
twi,0.6617646,0.7245864,0.73641187,0.7251083,0.7119678
pcm,0.6502406,0.7215168,0.73824054,0.72889054,0.70972216
mos,0.65171784,0.7246029,0.7284882,0.7249114,0.70743006
xho,0.6573789,0.7097825,0.7412176,0.7191435,0.70688057
hau,0.6536349,0.69981086,0.7362,0.71356666,0.70080316
swa,0.6667594,0.7064685,0.7003244,0.71131516,0.6962168
yor,0.64936805,0.71333563,0.71445304,0.704186,0.6953357
bbj,0.6500889,0.69427854,0.6926754,0.69030017,0.6818358
fon,0.6497997,0.6838048,0.68926316,0.70082396,0.6809229
