,DATE,LOC,ORG,PER
bam,,,0.9661270380020142,
bbj,,0.8909831643104553,0.9758020043373108,
ewe,,,0.9734303951263428,0.9724557995796204
fon,,,,0.9642677903175354
hau,,,0.9814440608024597,0.9833946824073792
ibo,,0.9479327201843262,0.9733836054801941,
kin,,,0.9745866656303406,
lug,,,0.983169674873352,0.9609547257423401
luo,,,0.9745639562606812,0.9734561443328857
mos,,,0.9780547618865967,0.9704686999320984
nya,,,0.9787967801094055,
pcm,,0.9716649055480957,,0.9846927523612976
sna,,0.9421437978744507,,0.9777560234069824
swa,,,,0.979790210723877
tsn,,0.938279390335083,0.9737690091133118,
twi,,,,0.9843770861625671
wol,,,0.9715777635574341,
xho,,0.9238160848617554,,0.950688898563385
yor,,0.882514238357544,0.9780250787734985,
zul,,0.9222463369369507,,
