,1,2,3,4,5,6,7,8,9,10,11,12
bam,0.9980120211839676,0.9999728053808212,0.9999953955411911,0.999999076128006,0.9999852478504181,0.9999995529651642,0.999996542930603,0.99993364016215,0.9998066226641337,0.9992016156514486,0.9947631359100342,0.9674597183863322
bbj,0.9985218495130539,0.9999577850103378,0.9999931305646896,0.9999981075525284,0.9999758005142212,0.9999993294477463,0.9999961256980896,0.9999221960703532,0.9997430245081583,0.998437503973643,0.9934086799621582,0.9692874550819397
ewe,0.9980972856283188,0.9999641478061676,0.9999941438436508,0.9999985992908478,0.9999881386756897,0.9999996870756149,0.9999956637620926,0.9999450246493021,0.9998101989428201,0.9991588791211446,0.9930190443992615,0.9819478193918864
fon,0.997014582157135,0.9999623596668243,0.9999935328960419,0.9999984949827194,0.9999793767929077,0.999999389052391,0.9999956786632538,0.9999037981033325,0.9997901519139608,0.9991081158320109,0.9934060573577881,0.9749485850334167
hau,0.9952767789363861,0.9999393075704575,0.9999913424253464,0.9999973624944687,0.9999809414148331,0.9999995082616806,0.9999968707561493,0.9998729427655538,0.9997398853302002,0.9985743363698324,0.9907824993133545,0.9759138623873392
ibo,0.9984675943851471,0.9999854564666748,0.9999974220991135,0.9999991357326508,0.9999885261058807,0.9999997168779373,0.9999971836805344,0.9999508261680603,0.9998452067375184,0.9991039832433065,0.9966434439023336,0.9773664871851603
kin,0.9986872971057892,0.9999843239784241,0.9999968260526658,0.9999989420175552,0.9999878108501433,0.9999996423721313,0.9999966621398926,0.999946137269338,0.9998134175936381,0.998999297618866,0.9973366856575012,0.9859398007392883
lug,0.9986538290977478,0.9999839067459106,0.9999972432851791,0.9999991953372955,0.999992161989212,0.9999997168779373,0.9999977648258209,0.9999551574389139,0.9997594753901163,0.999772330125173,0.9961788853009542,0.9807445804278055
luo,0.9985625296831131,0.9999736249446869,0.9999952465295792,0.9999984800815582,0.9999871104955673,0.999999538064003,0.9999983906745911,0.9999288320541382,0.9997908671696981,0.9993757406870524,0.9952138264973959,0.9839200377464294
mos,0.998611643910408,0.9999812841415405,0.9999952018260956,0.9999985247850418,0.9999791383743286,0.9999993741512299,0.9999969452619553,0.99991774559021,0.9998704195022583,0.9990813136100769,0.9950092633565267,0.9743913213411967
nya,0.9986688941717148,0.9999824613332748,0.9999960660934448,0.9999987632036209,0.999989852309227,0.9999997168779372,0.9999973773956299,0.9999565084775289,0.9998051722844442,0.9988433718681335,0.9971632560094198,0.9770337144533793
pcm,0.9920248985290527,0.9999069273471832,0.9999835789203644,0.9999951422214508,0.9999725520610809,0.9999991655349731,0.9999974519014359,0.999749501546224,0.9993993043899536,0.9991986552874247,0.9911907116572062,0.9827873905499777
sna,0.9992303252220154,0.9999900162220001,0.9999974817037582,0.9999990165233612,0.9999879598617554,0.9999997019767761,0.9999956637620926,0.9999222159385681,0.9998432397842408,0.998697837193807,0.9952186346054077,0.9715725183486938
swa,0.9901095479726791,0.9999010115861893,0.9999860227108002,0.9999957680702211,0.9999799281358719,0.9999993443489075,0.9999965131282806,0.9998008211453756,0.9994328022003174,0.9984564383824667,0.9960069060325623,0.9808512330055237
tsn,0.9977838546037674,0.9999672025442123,0.9999929517507553,0.9999975860118866,0.9999898821115494,0.9999996423721313,0.9999981075525284,0.9999304413795471,0.9996321598688761,0.9993026256561279,0.993453323841095,0.9820189674695333
twi,0.9983064383268356,0.9999823421239853,0.9999962896108627,0.9999990612268448,0.9999900013208389,0.9999997019767761,0.9999979734420776,0.9999160965283712,0.9998599886894226,0.9992055098215739,0.9960359533627828,0.9887509147326151
wol,0.9990020543336868,0.9999887943267822,0.9999963641166687,0.9999991208314896,0.9999795109033585,0.9999993443489075,0.9999967366456985,0.999920924504598,0.9997176726659139,0.9989573756853739,0.9925747911135355,0.9727871616681417
xho,0.9986016303300858,0.9999787956476212,0.9999970346689224,0.9999989867210388,0.9999839961528778,0.999999538064003,0.9999977946281433,0.9999462366104126,0.9997933506965637,0.9993502100308737,0.9921700954437256,0.9660320480664571
yor,0.9985581487417221,0.9999755471944809,0.9999958723783493,0.9999988079071045,0.9999796897172928,0.999999389052391,0.9999953955411911,0.9999368190765381,0.9998144308725992,0.999096949895223,0.99249400695165,0.9677739143371582
zul,0.998701885342598,0.999987781047821,0.9999971091747284,0.9999990314245224,0.9999845325946808,0.9999995976686478,0.9999981373548508,0.9999567866325378,0.9998267491658529,0.9994045893351237,0.9940308133761088,0.9782379666964213
