,PER,DATE,ORG,LOC,Mean
hau,0.9996031,0.99554867,0.9995549,0.99952775,0.9985586
ewe,0.9996329,0.9945472,0.9997239,0.99935615,0.9983151
tsn,0.9991977,0.9936459,0.9999126,0.9995845,0.9980852
xho,0.9957151,0.9988417,0.9981129,0.9987496,0.9978548
lug,0.9999816,0.9924248,0.9997978,0.99878836,0.99774814
bam,0.99924016,0.9937357,0.9993897,0.9984495,0.9977038
wol,0.9997366,0.9914095,0.9997208,0.99970543,0.9976431
swa,0.9996879,0.99211705,0.9997631,0.99899143,0.9976399
yor,0.99894315,0.99291766,0.99954295,0.99903125,0.9976088
sna,0.9972027,0.9935661,0.99987495,0.9992062,0.9974625
mos,0.9998419,0.99105924,0.9996947,0.999043,0.9974097
luo,0.9999142,0.9901379,0.99971175,0.99892896,0.9971732
pcm,0.9996892,0.9899964,0.99967647,0.99916786,0.9971325
zul,0.9968896,0.9984032,0.9989698,0.9934234,0.99692154
kin,0.999936,0.98854804,0.9998397,0.99921703,0.9968852
twi,0.9997498,0.9890641,0.99952734,0.99862474,0.99674153
nya,0.9979504,0.9900804,0.9997702,0.9987765,0.9966444
ibo,0.999792,0.9874959,0.99956244,0.998948,0.9964496
bbj,0.9995997,0.98769623,0.99924135,0.997528,0.9960163
fon,0.9977484,0.9880134,0.9987872,0.9987469,0.995824
