,ORG,LOC,PER,DATE,Mean
lug,0.81564003,0.7542387,0.8760563,0.77624905,0.80554605
kin,0.8231646,0.76158804,0.82250667,0.7850622,0.7980803
nya,0.8267768,0.7460196,0.8316307,0.7558391,0.79006654
luo,0.7864604,0.7449219,0.8198524,0.7749579,0.78154814
sna,0.79858273,0.7601235,0.7861098,0.77367043,0.77962166
wol,0.77789533,0.7452001,0.81047785,0.7743949,0.7769921
tsn,0.78806436,0.7197509,0.8115119,0.774212,0.7733848
ibo,0.76515794,0.7354092,0.8129351,0.76323414,0.7691841
twi,0.7868377,0.71857363,0.8220242,0.7361743,0.76590246
pcm,0.77601945,0.7405565,0.8301677,0.70409095,0.76270866
ewe,0.7704612,0.72286844,0.8218341,0.7334317,0.76214886
zul,0.7809823,0.73309445,0.78335786,0.74316263,0.7601493
xho,0.7794583,0.73991257,0.76658714,0.7469876,0.75823635
mos,0.77297986,0.728152,0.80282795,0.7243578,0.7570794
swa,0.74938273,0.7245247,0.81525016,0.7179358,0.75177336
bam,0.73748916,0.7297064,0.79858696,0.7300421,0.7489561
hau,0.75808424,0.72537315,0.79565865,0.7091517,0.7470669
yor,0.74678046,0.71075165,0.7639964,0.7311336,0.7381655
fon,0.7508457,0.7085568,0.79858935,0.68773186,0.7364309
bbj,0.7176801,0.7034149,0.8054713,0.701017,0.7318958
