,LOC,DATE,ORG,PER,Mean
luo,0.9992439,0.99891937,0.9996336,0.9896084,0.9968513
twi,0.9990578,0.99907905,0.99965125,0.98920035,0.99674714
lug,0.99972117,0.9989541,0.9996601,0.9884366,0.996693
kin,0.99913377,0.99916613,0.9996669,0.9887416,0.9966771
ewe,0.99847144,0.9983096,0.9994573,0.99027044,0.9966272
ibo,0.99860436,0.99930865,0.9996038,0.9887332,0.9965625
swa,0.9991866,0.99778026,0.99960417,0.98949605,0.99651676
pcm,0.99893826,0.9974866,0.9995574,0.9898141,0.99644905
tsn,0.99894994,0.99875426,0.9985415,0.98952925,0.99644375
nya,0.9982436,0.9987998,0.99966085,0.98886013,0.99639106
fon,0.9982489,0.99816996,0.9993252,0.9897513,0.99637383
hau,0.99793506,0.9988015,0.99929327,0.98928976,0.9963299
sna,0.9984693,0.99906594,0.99946797,0.9882528,0.996314
xho,0.99804586,0.99942595,0.9989059,0.9887354,0.9962783
wol,0.9980616,0.99888057,0.9993794,0.9887257,0.99626184
yor,0.9979521,0.9989673,0.99920917,0.9887265,0.9962138
bbj,0.997866,0.99851805,0.9990595,0.9892447,0.9961721
zul,0.9985779,0.9987429,0.99934345,0.987571,0.9960588
mos,0.9975771,0.9985171,0.9993975,0.9886988,0.9960476
bam,0.9977913,0.99846715,0.9987772,0.9882855,0.9958303
